Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
resgate aereo,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,185,1.203,"15,38%","1,65","304,47","24,05%","69,62%","1,00",0,"304,47","0,54%","253,09"
passeio aereo,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,183,3.584,"5,11%","1,32","241,04","14,11%","62,69%","8,00",0,"30,13","4,37%","67,26"
uniair,Qualificado, --,Correspondência de frase,v4 | search_institucional | BR,brand,BRL,"0,01",10,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Acima da média,173,971,"17,82%","1,17","201,74","57,76%","82,44%","2,00",0,"100,87","1,16%","207,77"
uniair taxi aereo,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",8,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Na média,165,1.344,"12,28%","1,52","251,17","29,59%","69,46%","5,00",0,"50,23","3,03%","186,89"
voo particular,Pausado,pausado,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,125,1.660,"7,53%","3,68","460,33","11,96%","73,09%","7,00",0,"65,76","5,60%","277,31"
táxi aéreo helicóptero,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,92,729,"12,62%","1,83","168,75","34,60%","66,59%","4,00",0,"42,19","4,35%","231,48"
taxi aereo,Qualificado, --,Correspondência exata,v4 | search_institucional | BR,brand,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,73,658,"11,09%","1,23","89,60","9,04%","67,04%","3,00",0,"29,87","4,11%","136,17"
uniair taxi aereo ltda,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",8,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Na média,73,858,"8,51%","2,53","185,02","23,63%","75,78%","2,00",0,"92,51","2,74%","215,64"
uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Na média,63,723,"8,71%","7,47","470,87","11,71%","88,46%","1,00",0,"470,87","1,59%","651,27"
uti aérea,Pausado,pausado,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,60,543,"11,05%","2,14","128,68","22,06%","71,18%","0,00",0,0,"0,00%","236,98"
voo particular,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,53,951,"5,57%","2,73","144,93","10,42%","65,71%","0,00",0,0,"0,00%","152,40"
voo particular,Qualificado, --,Correspondência exata,v4 | search_institucional | BR,brand,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,44,441,"9,98%","1,22","53,55","6,08%","59,12%","0,00",0,0,"0,00%","121,43"
taxi aereo preço,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,42,727,"5,78%","1,99","83,73","36,67%","58,10%","2,00",0,"41,87","4,76%","115,17"
abaeté taxi aéreo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",4,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,41,489,"8,38%","3,70","151,66","52,86%","76,02%","0,00",0,0,"0,00%","310,13"
aeromédico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,40,529,"7,56%","4,73","189,10","19,27%","84,08%","0,00",0,0,"0,00%","357,46"
aeromédico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,37,390,"9,49%","8,59","317,93","28,16%","87,73%","0,00",0,0,"0,00%","815,20"
lider taxi aereo,Limitado,baixa qualidade,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,35,414,"8,45%","2,41","84,28","25,16%","55,41%","3,00",0,"28,09","8,57%","203,58"
ambulância aérea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,35,348,"10,06%","4,89","171,31","20,31%","83,91%","1,00",0,"171,31","2,86%","492,28"
fretamento de helicóptero,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,34,712,"4,78%","2,14","72,79","12,62%","17,98%","4,00",0,"18,20","11,76%","102,23"
transporte aereo uti movel,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Na média,33,345,"9,57%","5,07","167,30","20,74%","82,96%","0,00",0,0,"0,00%","484,93"
aeromédica londrina,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,32,314,"10,19%","4,79","153,29","39,54%","41,06%","0,00",0,0,"0,00%","488,19"
empresa de taxi aereo,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Na média,Acima da média,Abaixo da média,31,580,"5,34%","2,19","67,78","18,92%","38,25%","2,00",0,"33,89","6,45%","116,87"
taxi aereo porto alegre,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,30,124,"24,19%","2,09","62,61","12,24%","87,76%","3,00",0,"20,87","10,00%","504,92"
uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,28,419,"6,68%","11,22","314,28","16,98%","91,19%","1,00",0,"314,28","3,57%","750,08"
uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,27,287,"9,41%","3,99","107,68","19,34%","80,66%","0,00",0,0,"0,00%","375,20"
lider aviação,Pausado,pausado,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,22,231,"9,52%","2,95","64,90","43,67%","68,99%","0,00",0,0,"0,00%","280,96"
voo privado,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,22,532,"4,14%","1,49","32,77","23,90%","56,60%","0,00",0,0,"0,00%","61,60"
taxi aereo curitiba,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,20,81,"24,69%","2,00","39,95","23,44%","78,13%","0,50",0,"79,90","2,50%","493,19"
aerovida taxi aereo,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,19,58,"32,76%","3,50","66,52","52,63%","94,74%","0,00",0,0,"0,00%","1146,94"
mobilidade aerea,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,17,594,"2,86%","1,68","28,55","8,59%","60,11%","0,00",0,0,"0,00%","48,06"
transporte aereo uti movel,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,15,220,"6,82%","10,74","161,11","25,29%","83,53%","0,00",0,0,"0,00%","732,33"
aeromédico paraná,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,14,205,"6,83%","4,66","65,19","60,90%","80,45%","0,00",0,0,"0,00%","318,00"
enfermagem aeromedica,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,13,220,"5,91%","3,53","45,91","31,25%","84,38%","0,00",0,0,"0,00%","208,69"
helicóptero uti preço,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",6,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Na média,Abaixo da média,13,45,"28,89%","3,21","41,75","25,81%","96,77%","0,00",0,0,"0,00%","927,84"
ambulância aérea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,13,160,"8,13%","8,97","116,62","30,25%","87,39%","0,00",0,0,"0,00%","728,89"
aluguel de aeronaves,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,12,105,"11,43%","1,90","22,81","36,25%","71,25%","1,00",0,"22,81","8,33%","217,24"
taxi aereo manaus,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,12,131,"9,16%","3,38","40,59","19,78%","78,02%","0,00",0,0,"0,00%","309,87"
helicoptero uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,12,60,"20,00%","8,78","105,30","45,95%","97,30%","0,00",0,0,"0,00%","1755,02"
unimed air,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Na média,11,94,"11,70%","3,02","33,17","64,29%","74,29%","0,00",0,0,"0,00%","352,87"
unimed aeromedico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,11,139,"7,91%","4,23","46,57","50,00%","79,17%","0,00",0,0,"0,00%","335,07"
preço de uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,10,93,"10,75%","2,94","29,44","25,68%","86,49%","0,00",0,0,"0,00%","316,56"
aviao uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,10,198,"5,05%","6,18","61,79","8,13%","81,88%","1,00",0,"61,79","10,00%","312,07"
uti aérea valor,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,9,75,"12,00%","5,72","51,47","6,35%","82,54%","0,00",0,0,"0,00%","686,23"
uti aérea são paulo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,9,67,"13,43%","17,46","157,18","10,91%","87,27%","0,00",0,0,"0,00%","2346,01"
taxi aereo londrina,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,8,24,"33,33%","2,20","17,63","30,00%","85,00%","0,00",0,0,"0,00%","734,60"
valor de uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,8,80,"10,00%","3,58","28,61","4,35%","82,61%","0,00",0,0,"0,00%","357,58"
transporte aeromedico helicoptero,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,8,58,"13,79%","5,88","47,06","48,65%","67,57%","0,00",0,0,"0,00%","811,35"
unimed aeromedica,Limitado,baixa qualidade,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,7,133,"5,26%","1,40","9,83","21,52%","75,95%","0,00",0,0,"0,00%","73,88"
uti movel aérea,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,7,109,"6,42%","3,65","25,58","11,11%","80,25%","0,00",0,0,"0,00%","234,66"
transporte aereo unimed,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,7,59,"11,86%","3,88","27,19","42,50%","75,00%","0,00",0,0,"0,00%","460,86"
transporte aeromédico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,7,84,"8,33%","14,58","102,03","27,42%","91,94%","0,00",0,0,"0,00%","1214,62"
aviao ambulancia,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,7,105,"6,67%","8,76","61,32","20,51%","91,03%","0,00",0,0,"0,00%","584,00"
médico aeronáutico,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,6,221,"2,71%","4,27","25,60","25,86%","33,62%","0,00",0,0,"0,00%","115,83"
fretamento de aeronaves,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,6,63,"9,52%","1,76","10,58","22,22%","64,81%","0,00",0,0,"0,00%","167,94"
fretar voo particular preço,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,6,22,"27,27%","1,51","9,04","50,00%","81,25%","0,00",0,0,"0,00%","410,91"
uti aérea preço,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,5,23,"21,74%","4,10","20,50","15,00%","80,00%","0,00",0,0,"0,00%","891,27"
helicóptero ambulância,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,5,156,"3,21%","3,22","16,08","45,71%","57,14%","0,00",0,0,"0,00%","103,07"
ambulância helicóptero,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,5,87,"5,75%","3,62","18,12","50,00%","71,43%","0,00",0,0,"0,00%","208,28"
