Informações do leilão - pesquisa
1 de julho de 2026 - 6 de agosto de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-07-06,brasilvida.com.br,< 10%,"10,96%","66,67%","83,87%","46,77%","21,49%"
2026-07-07,brasilvida.com.br,< 10%,"11,45%","53,13%","79,68%","24,60%","21,47%"
2026-07-08,brasilvida.com.br,< 10%,"12,55%","64,77%","81,10%","29,13%","24,89%"
2026-07-09,brasilvida.com.br,< 10%,"13,45%","56,44%","76,29%","21,98%","26,05%"
2026-07-10,brasilvida.com.br,< 10%,"12,17%","53,76%","68,62%","12,97%","25,93%"
2026-07-11,brasilvida.com.br,< 10%,"13,23%","59,30%","73,91%","16,85%","26,69%"
2026-07-12,brasilvida.com.br,"10,69%","15,95%","66,42%","78,17%","24,30%","28,26%"
2026-07-13,brasilvida.com.br,< 10%,"17,49%","68,70%","82,97%","26,64%","25,18%"
2026-07-14,brasilvida.com.br,< 10%,"16,52%","80,77%","77,82%","23,68%","24,01%"
2026-07-15,brasilvida.com.br,< 10%,"15,53%","70,63%","84,64%","32,96%","27,65%"
2026-07-16,brasilvida.com.br,< 10%,"14,44%","66,86%","76,82%","23,53%","18,69%"
2026-07-17,brasilvida.com.br,< 10%,"13,04%","66,15%","78,41%","24,92%","17,25%"
2026-07-18,brasilvida.com.br,< 10%,"9,03%","85,71%","82,35%","31,86%","25,76%"
2026-07-20,brasilvida.com.br,< 10%,"12,79%","65,85%","74,17%","14,02%","21,57%"
2026-07-21,brasilvida.com.br,< 10%,"16,71%","61,93%","75,13%","20,21%","21,41%"
2026-07-22,brasilvida.com.br,< 10%,"18,14%","71,08%","75,84%","26,91%","22,35%"
2026-07-23,brasilvida.com.br,< 10%,"12,20%","64,29%","76,67%","24,81%","23,88%"
2026-07-24,brasilvida.com.br,< 10%,"15,84%","63,95%","76,95%","25,42%","26,98%"
2026-07-25,brasilvida.com.br,< 10%,"15,11%","68,03%","82,46%","25,00%","28,33%"
2026-07-26,brasilvida.com.br,< 10%,"14,65%","65,63%","75,44%","21,75%","25,25%"
2026-07-27,brasilvida.com.br,< 10%,"13,77%","61,65%","80,08%","16,02%","24,39%"
2026-07-28,brasilvida.com.br,< 10%,"14,39%","61,76%","66,38%","13,84%","26,45%"
2026-07-29,brasilvida.com.br,< 10%,"17,85%","65,03%","76,00%","14,55%","25,37%"
2026-07-30,brasilvida.com.br,< 10%,"16,56%","57,14%","75,69%","18,43%","25,99%"
2026-07-31,brasilvida.com.br,< 10%,"15,75%","55,26%","72,37%","14,40%","31,79%"
2026-08-01,brasilvida.com.br,< 10%,"14,27%","47,06%","66,82%","15,21%","33,77%"
2026-08-02,brasilvida.com.br,< 10%,"13,49%","59,59%","75,33%","16,30%","34,85%"
2026-08-03,brasilvida.com.br,< 10%,"14,22%","62,89%","75,17%","14,14%","30,60%"
2026-08-04,brasilvida.com.br,< 10%,"15,90%","56,06%","77,58%","16,67%","33,41%"
2026-08-05,brasilvida.com.br,< 10%,"12,24%","65,96%","74,15%","23,81%","31,02%"
2026-08-06,brasilvida.com.br,< 10%,"15,06%","53,48%","82,26%","20,18%","32,45%"
2026-07-01,flyflapper.com,"19,23%","25,66%","59,07%","84,10%","25,10%","26,20%"
2026-07-02,flyflapper.com,"20,75%","23,66%","54,07%","81,87%","28,73%","23,62%"
2026-07-03,flyflapper.com,"17,72%","22,07%","62,33%","86,41%","29,80%","27,71%"
2026-07-04,flyflapper.com,"20,47%","23,69%","59,67%","86,44%","21,46%","27,19%"
2026-07-05,flyflapper.com,"17,33%","24,67%","57,77%","85,43%","25,63%","31,17%"
2026-07-06,flyflapper.com,"18,25%","24,92%","56,00%","85,02%","31,86%","19,95%"
2026-07-07,flyflapper.com,"23,07%","30,59%","62,57%","87,41%","32,45%","18,49%"
2026-07-08,flyflapper.com,"19,95%","24,11%","65,09%","84,69%","28,88%","22,84%"
2026-07-09,flyflapper.com,"20,08%","25,70%","53,89%","86,17%","23,18%","24,29%"
2026-07-10,flyflapper.com,"18,34%","21,73%","63,25%","83,56%","28,51%","23,93%"
2026-07-11,flyflapper.com,"20,54%","24,62%","63,13%","87,20%","18,22%","24,47%"
2026-07-12,flyflapper.com,"20,17%","25,83%","60,83%","84,33%","21,27%","26,65%"
2026-07-13,flyflapper.com,"17,39%","22,43%","68,45%","84,40%","29,89%","24,23%"
2026-07-14,flyflapper.com,"20,45%","23,00%","79,01%","84,68%","32,87%","22,67%"
2026-07-15,flyflapper.com,"20,20%","23,13%","78,87%","89,32%","31,72%","25,39%"
2026-07-16,flyflapper.com,< 10%,"10,68%","64,00%","85,88%","35,16%","19,27%"
2026-07-17,flyflapper.com,"10,28%","19,86%","74,24%","88,03%","29,65%","16,10%"
2026-07-18,flyflapper.com,< 10%,"15,36%","72,52%","84,05%","25,58%","24,81%"
2026-07-19,flyflapper.com,< 10%,"21,13%","65,85%","82,62%","16,99%","13,75%"
2026-07-20,flyflapper.com,"10,70%","13,62%","65,65%","83,75%","19,91%","21,45%"
2026-07-21,flyflapper.com,< 10%,"9,50%","65,00%","83,68%","25,79%","22,41%"
2026-07-22,flyflapper.com,"12,87%","14,75%","62,22%","81,05%","17,43%","23,30%"
2026-07-23,flyflapper.com,"12,81%","18,41%","70,41%","83,04%","24,01%","22,55%"
2026-07-24,flyflapper.com,"15,37%","25,97%","67,63%","81,47%","24,00%","24,75%"
2026-07-25,flyflapper.com,"13,15%","16,14%","70,70%","79,26%","22,47%","27,98%"
2026-07-26,flyflapper.com,"15,28%","17,28%","69,54%","82,64%","19,46%","24,58%"
2026-07-27,flyflapper.com,"14,10%","21,64%","69,86%","82,78%","21,92%","22,62%"
2026-07-28,flyflapper.com,"12,78%","18,37%","64,52%","77,50%","18,08%","25,59%"
2026-07-29,flyflapper.com,"10,88%","14,68%","63,43%","81,50%","23,12%","26,03%"
2026-07-30,flyflapper.com,"10,30%","10,09%","71,60%","82,29%","33,33%","26,64%"
2026-07-31,flyflapper.com,"11,51%","13,47%","56,92%","80,56%","17,55%","32,15%"
2026-08-01,flyflapper.com,"16,10%","18,59%","62,58%","83,56%","19,14%","31,99%"
2026-08-02,flyflapper.com,"18,14%","23,29%","61,51%","82,43%","22,78%","32,47%"
2026-08-03,flyflapper.com,"16,74%","19,77%","72,85%","83,30%","28,01%","28,76%"
2026-08-04,flyflapper.com,"18,12%","23,78%","68,58%","83,74%","24,07%","30,70%"
2026-08-05,flyflapper.com,"18,42%","23,35%","63,94%","84,90%","23,21%","28,71%"
2026-08-06,flyflapper.com,"11,65%","11,84%","65,99%","85,61%","32,44%","32,54%"
2026-07-14,flyliss.com,< 10%,"3,05%","58,33%","65,07%","8,90%","27,21%"
2026-07-01,flyrevo.com,< 10%,"4,89%","41,46%","76,59%","30,73%","30,25%"
2026-07-02,flyrevo.com,< 10%,"4,95%","77,78%","82,11%","29,82%","26,04%"
2026-07-03,flyrevo.com,< 10%,"5,95%","67,24%","78,39%","31,78%","30,85%"
2026-07-04,flyrevo.com,"11,36%","6,54%","64,00%","78,47%","31,02%","30,34%"
2026-07-05,flyrevo.com,< 10%,"6,83%","61,40%","75,97%","28,57%","34,83%"
2026-07-06,flyrevo.com,"10,55%","7,64%","69,57%","77,37%","29,20%","21,95%"
2026-07-07,flyrevo.com,"12,84%","6,26%","60,00%","75,48%","27,39%","22,00%"
2026-07-08,flyrevo.com,"10,63%","6,28%","70,45%","78,18%","39,64%","25,90%"
2026-07-09,flyrevo.com,"13,63%","9,99%","70,67%","79,61%","34,71%","26,20%"
2026-07-10,flyrevo.com,"14,49%","14,79%","69,03%","77,69%","37,59%","24,91%"
2026-07-11,flyrevo.com,"18,45%","16,00%","76,92%","84,30%","41,79%","25,40%"
2026-07-12,flyrevo.com,"23,30%","20,71%","77,01%","82,55%","40,39%","26,57%"
2026-07-13,flyrevo.com,"14,48%","9,48%","73,24%","78,36%","37,20%","26,63%"
2026-07-14,flyrevo.com,"16,19%","11,56%","75,82%","76,30%","35,87%","25,27%"
2026-07-15,flyrevo.com,"15,17%","12,16%","76,79%","77,56%","33,56%","28,15%"
2026-07-16,flyrevo.com,"13,46%","13,68%","76,88%","58,61%","29,04%","18,51%"
2026-07-17,flyrevo.com,"17,00%","16,95%","76,92%","66,15%","38,20%","16,42%"
2026-07-18,flyrevo.com,"19,61%","17,94%","80,39%","76,96%","44,41%","23,90%"
2026-07-19,flyrevo.com,< 10%,"15,57%","72,19%","79,68%","37,67%","14,18%"
2026-07-20,flyrevo.com,"15,79%","14,97%","81,94%","80,00%","39,69%","20,67%"
2026-07-21,flyrevo.com,"20,73%","19,94%","85,71%","71,44%","38,51%","19,80%"
2026-07-22,flyrevo.com,"17,47%","12,79%","84,62%","79,78%","44,30%","22,88%"
2026-07-23,flyrevo.com,"12,70%","12,09%","82,88%","77,78%","38,89%","23,31%"
2026-07-25,flyrevo.com,< 10%,"6,27%","83,61%","72,33%","31,55%","29,93%"
2026-07-26,flyrevo.com,< 10%,"6,41%","82,14%","74,21%","34,74%","26,46%"
2026-08-01,flyrevo.com,"13,37%","13,31%","73,87%","86,04%","37,99%","32,64%"
2026-08-02,flyrevo.com,"16,04%","13,96%","76,82%","86,90%","47,82%","33,84%"
2026-08-03,flyrevo.com,"13,98%","9,84%","74,55%","84,30%","36,99%","31,14%"
2026-08-04,flyrevo.com,"11,90%","8,59%","81,31%","86,14%","43,56%","34,12%"
2026-08-05,flyrevo.com,"12,48%","9,90%","80,70%","81,22%","38,97%","31,05%"
2026-08-06,flyrevo.com,"11,08%","9,82%","85,25%","86,67%","38,46%","32,34%"
2026-07-02,helimarket.com.br,< 10%,"5,09%","78,38%","82,01%","29,63%","26,01%"
2026-07-06,helimarket.com.br,< 10%,"4,82%","89,66%","77,22%","22,78%","22,18%"
2026-07-07,helimarket.com.br,< 10%,"3,94%","77,27%","85,61%","38,13%","22,17%"
2026-07-09,helimarket.com.br,< 10%,"2,80%","80,95%","81,48%","20,74%","27,55%"
2026-07-13,helimarket.com.br,< 10%,"2,27%","70,59%","80,15%","33,09%","28,16%"
2026-07-15,helimarket.com.br,< 10%,"2,93%","85,19%","86,54%","30,13%","30,28%"
2026-07-30,helimarket.com.br,< 10%,"2,74%","72,73%","83,43%","26,04%","28,14%"
2026-07-05,passeiosdehelicoptero.com.br,< 10%,"3,23%","96,30%","97,46%","90,68%","35,22%"
2026-07-24,passeiosdehelicoptero.com.br,< 10%,"5,71%","98,11%","91,43%","68,57%","28,34%"
2026-07-25,passeiosdehelicoptero.com.br,< 10%,"8,12%","98,73%","93,64%","74,09%","29,05%"
2026-07-26,passeiosdehelicoptero.com.br,< 10%,"9,04%","97,47%","92,35%","67,35%","25,47%"
2026-07-29,passeiosdehelicoptero.com.br,< 10%,"6,46%","98,31%","95,41%","80,28%","26,88%"
2026-07-30,passeiosdehelicoptero.com.br,< 10%,"5,11%","97,56%","93,62%","74,47%","27,28%"
2026-07-31,passeiosdehelicoptero.com.br,< 10%,"7,36%","97,18%","90,34%","76,81%","32,33%"
2026-08-01,passeiosdehelicoptero.com.br,< 10%,"10,91%","96,70%","93,43%","64,65%","32,38%"
2026-08-02,passeiosdehelicoptero.com.br,< 10%,"8,50%","97,83%","92,86%","54,62%","34,75%"
2026-08-03,passeiosdehelicoptero.com.br,< 10%,"6,80%","97,37%","91,71%","55,76%","31,38%"
2026-08-04,passeiosdehelicoptero.com.br,< 10%,"7,55%","96,81%","93,80%","56,20%","34,00%"
2026-08-05,passeiosdehelicoptero.com.br,< 10%,"6,68%","97,40%","89,95%","57,89%","31,55%"
2026-08-06,passeiosdehelicoptero.com.br,< 10%,"8,37%","99,04%","93,12%","65,59%","32,37%"
2026-07-06,primeyou.com.br,< 10%,"7,64%","67,39%","75,12%","18,89%","21,99%"
2026-07-07,primeyou.com.br,< 10%,"4,11%","78,26%","76,26%","21,92%","22,13%"
2026-07-08,primeyou.com.br,< 10%,"5,56%","56,41%","66,82%","22,12%","26,25%"
2026-07-09,primeyou.com.br,< 10%,"4,39%","63,64%","68,06%","17,80%","27,40%"
2026-07-10,primeyou.com.br,< 10%,"6,15%","63,83%","74,26%","10,40%","26,65%"
2026-07-11,primeyou.com.br,< 10%,"4,15%","77,78%","55,65%","12,90%","28,03%"
2026-07-12,primeyou.com.br,< 10%,"4,88%","68,29%","72,37%","11,84%","30,56%"
2026-07-20,primeyou.com.br,< 10%,"3,74%","55,56%","66,52%","14,93%","23,07%"
2026-07-23,primeyou.com.br,< 10%,"3,49%","78,13%","72,97%","14,05%","25,20%"
2026-07-27,primeyou.com.br,< 10%,"4,55%","61,36%","62,57%","11,76%","25,90%"
2026-07-28,primeyou.com.br,< 10%,"3,73%","59,09%","62,62%","10,28%","28,39%"
2026-07-29,primeyou.com.br,< 10%,"6,35%","60,34%","70,05%","15,67%","27,60%"
2026-07-30,primeyou.com.br,< 10%,"5,73%","71,74%","67,02%","10,47%","27,53%"
2026-08-02,primeyou.com.br,< 10%,"3,51%","44,74%","60,84%","8,43%","37,30%"
2026-08-03,primeyou.com.br,< 10%,"5,55%","66,13%","71,67%","13,75%","32,37%"
2026-08-04,primeyou.com.br,< 10%,"6,35%","58,23%","74,23%","12,69%","35,33%"
2026-08-05,primeyou.com.br,< 10%,"5,73%","53,03%","65,56%","14,44%","32,72%"
2026-08-06,primeyou.com.br,< 10%,"6,04%","58,67%","67,68%","11,79%","34,04%"
2026-07-24,rimaaviacao.com.br,< 10%,"12,39%","31,30%","49,44%","6,11%","28,86%"
2026-07-25,rimaaviacao.com.br,"11,75%","18,60%","50,28%","51,66%","14,36%","28,63%"
2026-07-26,rimaaviacao.com.br,"14,41%","20,82%","62,09%","60,75%","19,73%","24,32%"
2026-07-27,rimaaviacao.com.br,< 10%,"14,70%","62,68%","66,48%","23,38%","24,19%"
2026-07-28,rimaaviacao.com.br,< 10%,"13,46%","69,81%","63,77%","22,46%","26,30%"
2026-07-29,rimaaviacao.com.br,< 10%,"11,06%","72,28%","60,18%","27,60%","26,41%"
2026-07-30,rimaaviacao.com.br,"12,58%","20,42%","53,66%","59,09%","13,92%","25,56%"
2026-07-31,rimaaviacao.com.br,"10,18%","16,06%","52,26%","57,80%","17,02%","31,90%"
2026-07-01,rotorfly.com.br,< 10%,"4,65%","61,54%","52,00%","7,33%","29,99%"
2026-07-02,rotorfly.com.br,< 10%,"5,09%","64,86%","62,09%","7,11%","26,19%"
2026-07-03,rotorfly.com.br,< 10%,"5,75%","71,43%","75,00%","14,80%","30,81%"
2026-07-04,rotorfly.com.br,< 10%,"5,24%","80,00%","72,19%","10,70%","30,34%"
2026-07-06,rotorfly.com.br,< 10%,"5,48%","60,61%","65,99%","6,80%","22,41%"
2026-07-08,rotorfly.com.br,< 10%,"3,28%","39,13%","53,79%","6,82%","26,75%"
2026-07-09,rotorfly.com.br,< 10%,"3,33%","44,00%","68,16%","5,03%","27,78%"
2026-07-10,rotorfly.com.br,< 10%,"4,32%","54,55%","66,27%","11,83%","27,09%"
2026-07-11,rotorfly.com.br,< 10%,"5,85%","60,53%","71,10%","8,09%","27,94%"
2026-07-12,rotorfly.com.br,< 10%,"4,64%","64,10%","68,42%","8,61%","30,67%"
2026-07-13,rotorfly.com.br,< 10%,"3,60%","62,96%","62,14%","5,00%","27,97%"
2026-07-14,rotorfly.com.br,< 10%,"2,29%","50,00%","58,08%","4,79%","27,38%"
2026-07-15,rotorfly.com.br,< 10%,"6,19%","70,18%","66,36%","5,45%","29,70%"
2026-07-16,rotorfly.com.br,< 10%,"5,73%","62,69%","38,73%","4,77%","19,95%"
2026-07-17,rotorfly.com.br,< 10%,"5,52%","72,73%","52,92%","4,92%","18,12%"
2026-07-18,rotorfly.com.br,< 10%,"5,63%","60,42%","63,24%","4,90%","26,97%"
2026-07-20,rotorfly.com.br,< 10%,"4,05%","69,23%","47,04%","4,73%","22,89%"
2026-07-21,rotorfly.com.br,< 10%,"5,13%","72,22%","47,40%","3,76%","23,00%"
2026-07-22,rotorfly.com.br,< 10%,"4,59%","76,19%","57,41%","7,60%","24,76%"
2026-07-23,rotorfly.com.br,< 10%,"7,30%","67,16%","62,34%","9,42%","24,64%"
2026-07-24,rotorfly.com.br,< 10%,"8,62%","75,00%","71,33%","12,90%","28,08%"
2026-07-25,rotorfly.com.br,< 10%,"7,50%","73,97%","67,03%","12,09%","29,83%"
2026-07-26,rotorfly.com.br,< 10%,"6,75%","62,71%","69,14%","10,55%","26,75%"
2026-07-27,rotorfly.com.br,< 10%,"6,83%","62,12%","59,87%","10,37%","25,52%"
2026-07-28,rotorfly.com.br,"11,50%","7,87%","67,74%","75,00%","13,25%","27,48%"
2026-07-29,rotorfly.com.br,"10,66%","9,97%","64,84%","73,45%","9,14%","26,85%"
2026-07-30,rotorfly.com.br,< 10%,"8,09%","69,23%","66,05%","11,81%","27,10%"
2026-07-31,rotorfly.com.br,"11,19%","8,08%","73,08%","79,03%","10,00%","32,77%"
2026-08-01,rotorfly.com.br,< 10%,"7,19%","45,00%","68,02%","7,11%","35,03%"
2026-08-02,rotorfly.com.br,"10,02%","8,41%","51,65%","66,43%","7,69%","36,25%"
2026-08-03,rotorfly.com.br,< 10%,"4,92%","50,91%","62,25%","7,23%","32,76%"
2026-08-04,rotorfly.com.br,< 10%,"6,27%","50,00%","63,85%","7,77%","35,53%"
2026-08-05,rotorfly.com.br,< 10%,"5,21%","48,33%","65,60%","7,60%","32,89%"
2026-08-06,rotorfly.com.br,< 10%,"8,37%","53,85%","70,72%","6,67%","33,70%"
2026-07-01,setetaxiaereo.com.br,< 10%,"13,72%","56,52%","83,71%","28,51%","28,48%"
2026-07-02,setetaxiaereo.com.br,< 10%,"14,72%","71,03%","82,73%","29,55%","24,25%"
2026-07-03,setetaxiaereo.com.br,< 10%,"15,40%","71,33%","82,80%","22,58%","28,60%"
2026-07-04,setetaxiaereo.com.br,"14,26%","19,76%","72,19%","83,72%","28,78%","27,14%"
2026-07-05,setetaxiaereo.com.br,"11,45%","15,69%","53,44%","85,93%","22,43%","33,30%"
2026-07-06,setetaxiaereo.com.br,< 10%,"12,62%","80,26%","86,34%","47,58%","20,83%"
2026-07-07,setetaxiaereo.com.br,"10,88%","16,64%","65,59%","87,59%","34,59%","20,37%"
2026-07-08,setetaxiaereo.com.br,"11,71%","19,69%","68,12%","85,48%","37,95%","23,46%"
2026-07-09,setetaxiaereo.com.br,"14,49%","21,17%","69,18%","86,27%","39,38%","24,06%"
2026-07-10,setetaxiaereo.com.br,"14,96%","20,68%","79,75%","88,83%","50,00%","23,17%"
2026-07-11,setetaxiaereo.com.br,"13,81%","22,31%","75,86%","86,45%","41,29%","24,06%"
2026-07-12,setetaxiaereo.com.br,"14,83%","23,57%","76,77%","84,01%","42,39%","25,89%"
2026-07-13,setetaxiaereo.com.br,"14,83%","25,63%","79,69%","85,31%","45,10%","22,77%"
2026-07-14,setetaxiaereo.com.br,"14,85%","23,51%","82,70%","86,49%","41,47%","22,32%"
2026-07-15,setetaxiaereo.com.br,"13,76%","22,15%","78,92%","85,29%","38,48%","25,62%"
2026-07-16,setetaxiaereo.com.br,< 10%,"18,97%","75,23%","82,44%","43,79%","17,74%"
2026-07-17,setetaxiaereo.com.br,< 10%,"15,75%","77,07%","83,74%","37,67%","16,59%"
2026-07-18,setetaxiaereo.com.br,"12,11%","20,40%","68,39%","84,86%","38,38%","24,03%"
2026-07-19,setetaxiaereo.com.br,"14,18%","36,91%","86,87%","91,99%","66,55%","10,85%"
2026-07-20,setetaxiaereo.com.br,"25,69%","45,43%","82,84%","89,90%","57,96%","14,69%"
2026-07-21,setetaxiaereo.com.br,"23,75%","43,21%","80,44%","88,83%","52,34%","15,58%"
2026-07-22,setetaxiaereo.com.br,"27,76%","45,36%","81,45%","88,18%","50,40%","16,18%"
2026-07-23,setetaxiaereo.com.br,"14,59%","29,63%","66,91%","77,95%","34,82%","20,77%"
2026-07-24,setetaxiaereo.com.br,"11,84%","19,72%","79,78%","87,70%","39,07%","25,30%"
2026-07-25,setetaxiaereo.com.br,"20,51%","33,71%","74,39%","81,65%","39,24%","23,66%"
2026-07-26,setetaxiaereo.com.br,"19,14%","32,04%","76,79%","82,47%","37,73%","21,06%"
2026-07-27,setetaxiaereo.com.br,"15,94%","27,74%","76,87%","81,49%","42,39%","20,97%"
2026-07-28,setetaxiaereo.com.br,"18,83%","31,92%","75,60%","81,85%","44,65%","22,03%"
2026-07-29,setetaxiaereo.com.br,"14,65%","26,29%","78,33%","83,48%","43,99%","22,79%"
2026-07-30,setetaxiaereo.com.br,"15,87%","23,79%","71,73%","81,08%","42,34%","23,81%"
2026-07-31,setetaxiaereo.com.br,"17,57%","27,36%","73,86%","80,90%","48,67%","27,79%"
2026-08-01,setetaxiaereo.com.br,"17,66%","26,02%","61,75%","82,80%","38,57%","30,38%"
2026-08-02,setetaxiaereo.com.br,< 10%,"15,90%","57,56%","77,62%","36,82%","34,43%"
2026-08-03,setetaxiaereo.com.br,"15,12%","23,43%","72,52%","80,91%","42,35%","27,89%"
2026-08-04,setetaxiaereo.com.br,"18,18%","27,23%","74,04%","85,90%","50,73%","29,29%"
2026-08-05,setetaxiaereo.com.br,"14,67%","19,62%","62,83%","76,65%","39,52%","29,58%"
2026-08-06,setetaxiaereo.com.br,"11,45%","17,23%","63,08%","75,68%","34,00%","31,46%"
2026-07-01,skylinetaxiaereo.com,< 10%,"8,95%","32,00%","72,48%","6,04%","29,99%"
2026-07-04,skylinetaxiaereo.com,< 10%,"7,20%","34,55%","54,47%","7,32%","30,87%"
2026-07-05,skylinetaxiaereo.com,< 10%,"9,34%","37,18%","72,25%","15,03%","35,09%"
2026-07-06,skylinetaxiaereo.com,< 10%,"8,97%","31,48%","64,81%","10,49%","22,53%"
2026-07-07,skylinetaxiaereo.com,< 10%,"12,70%","30,99%","65,54%","10,17%","21,96%"
2026-07-09,skylinetaxiaereo.com,< 10%,"8,39%","14,29%","54,49%","6,41%","27,85%"
