Relatórios do histórico de alterações
1 de junho de 2026 - 5 de agosto de 2026
Data e hora,Usuário,Campanha,Grupo de anúncios,Alterações
"21 de jul. de 2026, 16:52:48",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência de frase adicionado(a)
  ""UTI Aérea 24 Horas""""
1 palavra-chave de correspondência ampla adicionado(a)
  Cotação UTI Aérea
2 palavras-chave de correspondência exata adicionado(a)
  [UTI aérea]
  [remocao uti aerea]"
"21 de jul. de 2026, 16:41:49",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,taxiaereo,"1 palavra-chave de correspondência ampla adicionado(a)
  Cotação Táxi Aéreo"
"21 de jul. de 2026, 16:41:08",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"2 palavras-chave de correspondência ampla adicionado(a)
  Orçamento táxi aéreo
  Cotação Táxi Aéreo"
"21 de jul. de 2026, 16:40:38",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,taxiaereo,"1 palavra-chave de correspondência ampla adicionado(a)
  Orçamento táxi aéreo"
"20 de jul. de 2026, 10:25:16",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 20,00 para R$ 35,00"
"20 de jul. de 2026, 10:25:10",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados: Valor do orçamento mudou de R$ 30,00 para R$ 40,00"
"20 de jul. de 2026, 10:24:47",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 110,00 para R$ 150,00"
"13 de jul. de 2026, 15:39:04",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 100,00 para R$ 110,00"
"13 de jul. de 2026, 15:38:31",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 60,00 para R$ 50,00"
"10 de jul. de 2026, 16:03:14",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 80,00 para R$ 100,00"
"10 de jul. de 2026, 16:03:07",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 70,00 para R$ 60,00"
"10 de jul. de 2026, 16:02:59",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 70,00 para R$ 50,00"
"10 de jul. de 2026, 15:20:34",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  UTI Aeromédico"
"10 de jul. de 2026, 15:19:26",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  Remoção Avião UTI"
"10 de jul. de 2026, 15:15:33",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"Campanha mudou
  Rede de parceiros de pesquisa ativada"
"9 de jul. de 2026, 17:50:48",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"Campanha mudou
  Campanha tipo de estratégia de lances mudou de ""Maximizar conversões"" para ""Maximizar cliques"""
"9 de jul. de 2026, 17:46:14",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência de frase adicionado(a)
  ""transporte uti aerea"""
"9 de jul. de 2026, 17:45:53",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 critérios palavra-chave de correspondência ampla foram pausados
  uti aérea: o status mudou de ativado para pausada"
"9 de jul. de 2026, 17:45:22",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência exata adicionado(a)
  [serviço aeromedico]"
"9 de jul. de 2026, 17:44:24",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 palavra-chave de correspondência ampla negativo adicionado(a)
  -trabalhar"
"9 de jul. de 2026, 17:44:16",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 palavra-chave de correspondência ampla negativo adicionado(a)
  -trabalhar"
"9 de jul. de 2026, 17:44:07",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,,"1 palavra-chave de correspondência ampla negativo adicionado(a)
  -trabalhar"
"9 de jul. de 2026, 17:43:38",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"1 critérios palavra-chave de correspondência ampla foram pausados
  voo particular: o status mudou de ativado para pausada"
"9 de jul. de 2026, 17:42:59",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"2 palavras-chave de correspondência exata adicionado(a)
  [taxi aereo]
  [voo particular]"
"9 de jul. de 2026, 16:49:09",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,,"4 palavras-chave de correspondência de frase negativo adicionado(a)
  -""uber""
  -""monomotor""
  -""velocidade""
  -""quanto tempo"""
"9 de jul. de 2026, 16:48:53",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,"10 palavras-chave de correspondência de frase negativo adicionado(a)
  -""cursos""
  -""cma""
  -""curso""
  -""certificado""
  -""especialização""
  -""simples remoção""
  -""vagas""
  -""perto de mim""
  -""samu""
  -""técnico"""
"9 de jul. de 2026, 16:48:35",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"10 palavras-chave de correspondência de frase negativo adicionado(a)
  -""cursos""
  -""cma""
  -""curso""
  -""certificado""
  -""especialização""
  -""simples remoção""
  -""vagas""
  -""perto de mim""
  -""samu""
  -""técnico"""
"9 de jul. de 2026, 16:45:53",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"12 palavras-chave de correspondência ampla negativo adicionado(a)
  -moto
  -uber
  -app
  -panoramico
  -passeio
  -cabify
  -passeios
  -aplicativo
  -casamento
  -panorâmico
  -andar de
  -como funciona"
"6 de jul. de 2026, 15:18:55",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[helicóptero]"
"6 de jul. de 2026, 15:18:07",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 25,00 para R$ 20,00"
"6 de jul. de 2026, 15:18:01",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 80,00 para R$ 70,00"
"6 de jul. de 2026, 15:17:46",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 100,00 para R$ 80,00"
"6 de jul. de 2026, 15:17:39",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 10,00 para R$ 25,00"
"6 de jul. de 2026, 15:02:08",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 90,00 para R$ 70,00"
"6 de jul. de 2026, 15:02:02",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 90,00 para R$ 80,00"
"6 de jul. de 2026, 15:01:56",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 120,00 para R$ 100,00"
"3 de jul. de 2026, 14:04:48",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[quanto custa um jato particular]"
"3 de jul. de 2026, 14:04:39",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[compartilhamento de aeronaves]"
"22 de jun. de 2026, 15:58:37",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 100,00 para R$ 90,00"
"22 de jun. de 2026, 15:58:33",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 70,00 para R$ 90,00"
"22 de jun. de 2026, 15:57:49",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 70,00 para R$ 100,00"
"19 de jun. de 2026, 18:01:30",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"Campanha mudou
  A coluna Opções de local (avançadas): segmentação mudou de ""Pessoas pesquisando, visualizando ou que estejam em páginas sobre minha região de segmentação"" para ""Pessoas em minha região de segmentação"""
"19 de jun. de 2026, 17:59:12",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 alteração de ajuste de lance
  Rio Grande do Sul, Brasil: o ajuste de lance por Região foi alterado de +40% para +0%"
"19 de jun. de 2026, 17:59:08",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 alteração de ajuste de lance
  São Paulo, Brasil: o ajuste de lance por Região foi alterado de +30% para +0%"
"19 de jun. de 2026, 17:58:38",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"2 regiões foi removido
  Mato Grosso do Sul, Brasil
  Mato Grosso, Brasil"
"19 de jun. de 2026, 17:57:35",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"19 regiões negativo foi alterado
  Acre, Brasil: de incluído para excluído
  Alagoas, Brasil: de incluído para excluído
  Amapá, Brasil: de incluído para excluído
  Amazonas, Brasil: de incluído para excluído
  Bahia, Brasil: de incluído para excluído
  Ceará, Brasil: de incluído para excluído
  Espírito Santo, Brasil: de incluído para excluído
  Goiás, Brasil: de incluído para excluído
  Maranhão, Brasil: de incluído para excluído
  Pará, Brasil: de incluído para excluído
  Paraíba, Brasil: de incluído para excluído
  Pernambuco, Brasil: de incluído para excluído
  Piauí, Brasil: de incluído para excluído
  Rio de Janeiro, Brasil: de incluído para excluído
  Rio Grande do Norte, Brasil: de incluído para excluído
  Rondônia, Brasil: de incluído para excluído
  Roraima, Brasil: de incluído para excluído
  Sergipe, Brasil: de incluído para excluído
  Tocantins, Brasil: de incluído para excluído"
"19 de jun. de 2026, 14:27:36",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"1 palavra-chave de correspondência exata negativo foi removido
  -[quanto custa um jato particular]"
"19 de jun. de 2026, 14:27:33",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"4 palavras-chave de correspondência exata negativo foi removido
  -[aluguel de jato particular]
  -[jato avião]
  -[jato particular preço]
  -[jato particular]"
"19 de jun. de 2026, 14:27:22",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"4 palavras-chave de correspondência ampla adicionado(a)
  aluguel de aeronaves
  fretamento de aeronaves
  aluguel de jatinho
  fretamento de jatinho"
"19 de jun. de 2026, 14:24:24",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"4 palavras-chave de correspondência ampla adicionado(a)
  jato uti
  empresa de transporte aeromédico
  uti aérea particular
  cotação urgente de transporte aeromédico"
"19 de jun. de 2026, 14:11:19",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 critérios palavra-chave de correspondência de frase foram pausados
  ""taxi aereo uti"": o status mudou de ativado para pausada"
"19 de jun. de 2026, 14:10:23",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 critérios palavra-chave de correspondência de frase foram pausados
  ""uti movel aerea"": o status mudou de ativado para pausada"
"19 de jun. de 2026, 14:09:36",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 critérios palavra-chave de correspondência de frase foram pausados
  ""uti aérea quanto custa"": o status mudou de ativado para pausada"
"19 de jun. de 2026, 14:08:49",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência ampla ativado(a)
  uti aérea unimed: o status mudou de pausada para ativado"
"19 de jun. de 2026, 14:08:33",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 critérios palavra-chave de correspondência ampla foram pausados
  uti aérea unimed: o status mudou de ativado para pausada"
"19 de jun. de 2026, 14:08:21",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 critérios palavra-chave de correspondência ampla foram pausados
  lider aviação: o status mudou de ativado para pausada"
"19 de jun. de 2026, 14:07:42",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  transporte de paciente com avião"
"19 de jun. de 2026, 14:05:37",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"Itens alterados: 1 anúncio responsivo de pesquisa
  A coluna URL final mudou de ""https://taxiaereo.uniair.com.br/uniair-a-geral-a-leadstaker-nova/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad3"" para ""https://taxiaereo.uniair.com.br/aeromedico/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad3"""
"15 de jun. de 2026, 11:59:28",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"5 palavras-chave de correspondência ampla negativo adicionado(a)
  -ambulancia
  -abulancias
  -ambulancias
  -anbulancias
  -anbulancia"
"15 de jun. de 2026, 11:58:59",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 palavra-chave de correspondência ampla negativo adicionado(a)
  -ambulancia particular"
"15 de jun. de 2026, 11:55:32",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  aero ambulancia 24h"
"15 de jun. de 2026, 11:53:09",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,,"1 palavra-chave de correspondência ampla negativo adicionado(a)
  -jato privado"
"15 de jun. de 2026, 11:52:09",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"1 palavra-chave de correspondência ampla adicionado(a)
  passeio aereo"
"15 de jun. de 2026, 11:50:13",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"1 palavra-chave de correspondência ampla adicionado(a)
  mobilidade aerea"
"15 de jun. de 2026, 11:47:25",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"1 palavra-chave de correspondência ampla adicionado(a)
  voo particular"
"15 de jun. de 2026, 11:44:57",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"Campanha mudou
  Campanha tipo de estratégia de lances mudou de ""Maximizar conversões"" para ""Maximizar cliques""
  CPA desejado era R$ 90,51"
"15 de jun. de 2026, 11:38:38",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 130,00 para R$ 120,00"
"15 de jun. de 2026, 11:38:32",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 90,00 para R$ 70,00"
"15 de jun. de 2026, 11:38:27",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 90,00 para R$ 70,00"
"15 de jun. de 2026, 11:38:20",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados: Valor do orçamento mudou de R$ 10,00 para R$ 30,00"
"15 de jun. de 2026, 10:56:44",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 70,00 para R$ 90,00"
"15 de jun. de 2026, 10:56:38",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 85,00 para R$ 90,00"
"15 de jun. de 2026, 10:56:30",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 120,00 para R$ 130,00"
"11 de jun. de 2026, 12:27:11",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 80,00 para R$ 85,00"
"11 de jun. de 2026, 12:26:31",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"Campanha mudou
  Campanha tipo de estratégia de lances mudou de ""Maximizar cliques"" para ""Maximizar conversões""
  CPA desejado é R$ 90,51"
"11 de jun. de 2026, 12:26:05",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 60,00 para R$ 70,00"
"11 de jun. de 2026, 12:25:57",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 100,00 para R$ 120,00"
"11 de jun. de 2026, 12:25:50",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 60,00 para R$ 80,00"
"11 de jun. de 2026, 12:25:43",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 40,00 para R$ 60,00"
"11 de jun. de 2026, 12:25:36",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 90,00 para R$ 100,00"
"11 de jun. de 2026, 12:20:59",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 85,00 para R$ 90,00"
"11 de jun. de 2026, 12:20:53",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 45,00 para R$ 40,00"
"11 de jun. de 2026, 12:20:17",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 15,00 para R$ 10,00"
"11 de jun. de 2026, 12:20:13",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados: Valor do orçamento mudou de R$ 15,00 para R$ 10,00"
"11 de jun. de 2026, 12:20:06",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 45,00 para R$ 60,00"
