Nome: Performance
"Período: Jun 30, 2026 – Jul 29, 2026"
Filtros: Tráfego = Todos
Título,Impressões,Cliques,CTR
COLUNA ELEVATÓRIA DE LASER,23,1,0.04347826
CONJUNTO PLACA CONTROLADORA E PAINEL TOPWIDSOM A1,24,1,0.04166667
CONJUNTO PLACA CONTROLADORA E PAINEL TOPWISDOM A4,,1,
"CORREIA DA POLIA DO MOTOR X,Y 225-3M - 10MM",,1,
Cabo sensor a laser para PRECITEC CAPACITIVO (RF) CABEÇOTES,,1,
DIODO RED POINT PARA CABEÇA SINO-GALVO,514,1,0.00194553
ESPELHOS DOURADO REFLETOR SILÍCIO MÁQUINAS CORTE LASER CO2,,1,
EXAUSTOR PARA MÁQUINAS DE CORTE A LASER 550W MOD:ML550,44,1,0.02272727
FONTE CHAVEADA 3 EM 1 - 24V / +15-15 / 5V,44,1,0.02272727
LENTE DE FOCO CO2 F-THETA (USA),,1,
LENTE FOCO SUPORTE CABEÇA CORTE LASER RAYTOOL D28 F125 BM09,,1,
MANGUEIRA DE SILICONE 12MM,22,1,0.04545455
MANGUEIRA DE SILICONE 8MM,36,1,0.02777778
MINI AMPERIMETRO DIGITAL C POTENCIOMETRO AJUSTAVEL INTEGRADO,,1,
MÁQUINA DE CORTE A LASER 100W MODELO BB-1310 - 2 CABEÇAS,416,1,0.00240385
MÁQUINA DE CORTE A LASER 100W MODELO BB-1410 - 2 CABEÇAS,222,1,0.0045045
MÁQUINA DE CORTE A LASER 100W MODELO BB-1610 - 2 CABEÇAS,721,1,0.00138696
MÁQUINA DE CORTE A LASER 150W MODELO 1325 - COM CAMERA,167,1,0.00598802
MÁQUINA DE CORTE LASER COM 4 CABEÇAS COM ESTEIRA ALIMENTADOR,216,1,0.00462963
MÁQUINA DE SOLDA 4 EM 1 SOLDA CORTE LIMPEZA SOLDA ML-2000,147,1,0.00680272
MÁQUINA FIBER LASER 100W GRAVAÇÃO EM METAL,351,1,0.002849
MÁQUINA FIBER LASER 30W GRAVAÇÃO EM METAL,295,1,0.00338983
MÁQUINA FIBER LASER 30W GRAVAÇÃO EM METAL,284,1,0.00352113
MÁQUINA FIBER LASER 50W GRAVAÇÃO EM METAL,190,1,0.00526316
Máquina Laser Fibra UV 5W,158,1,0.00632911
Máquina de Gravação Laser Câmera automática CCD Fiber Laser UV,226,1,0.00442478
Máquina de corte a Laser BB-1080 - 100W,39,1,0.02564103
Máquinas de corte a Laser 1310 BestBeam - 2 Cabeças,82,1,0.01219512
PLACA CONTROLADORA CO2 / UV - BJJCZ,27,1,0.03703704
POTENCIÔMETRO PARA MÁQUINAS DE CORTE A LASER,121,1,0.00826446
PURIFICADOR PARA MÁQUINA GALVANOMÉTRICA 100W,32,1,0.03125
REGULADOR DE AR 6MM PARA MÁQUINAS DE CORTE A LASER,,1,
ROLAMENTO SG20 SEM PARAFUSO,,1,
SUPORTE DE METAL PARA TUBO LASER,58,1,0.01724138
Tubo laser CO2 130W MARCA RECI,36,1,0.02777778
ÁGUA DESMINERALIZADA 5L REFRIGERAÇÃO LASER CHILLER,58,1,0.01724138
ÓCULOS DE PROTEÇÃO PARA FIBER LASER,42,1,0.02380952
ÓCULOS LASER,,1,
"- CORREIA DA POLIA DO MOTOR X,Y 228-3M - 10MM",,0,
ACOPLADOR DO MOTOR DE PASSO CNC 41X49 FURO 12MM FLEXÍVEL,,0,
ADAPTADOR DE LENTE FIBER LASER M68 PARA M85,,0,
ADAPTADOR DE LENTE FIBER LASER M79 PARA M85,,0,
ADITIVO LASER SCRIPTOR METAL EM SPRAY GRAVAÇÃO CO2,78,0,
ADITIVO LASER SCRIPTOR PARA GRAVAÇÃO EM METAL PASTA 50G CO2,59,0,
AMORTECEDOR TAMPA FRONTAL 35CM MÁQUINA CORTE LASER IMPORTADO,,0,
ANEL DE VEDAÇÃO PARA LENTE PARA RAYTOOLS 29.4*20,,0,
ANEL DE VEDAÇÃO PARA LENTE PARA RAYTOOLS 32.2*24,,0,
ANEL PROTEÇÃO VEDAÇÃO LENTE LASER CO2 20MM,,0,
Anel de vedação SRLC-P385 para Boci BLT642 e BLT421,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,,0,
BICO DE CORTE 21MM PARA LENTES DE 20MM DF 50.8 LASER CO2,,0,
BICO DE CORTE 24MM PARA LENTES DE 20MM,,0,
BOMBA DE ÁGUA DC CHILLER CW-5000 / CW-5200 24V 20L/MIN,,0,
BOTÃO DE EMERGÊNCIA COM CHAVE,38,0,
BOTÃO DE EMERGÊNCIA PARA MÁQUINAS DE CORTE A LASER,,0,
BOTÃO LIGA DESLIGA PARA MÁQUINAS DE CORTE A LASER - VERMELHO,,0,
BOTÃO LIGA/ DESLIGA PARA MÁQUINAS DE CORTE A LASER - PRETO,30,0,
BOTÃO LIGA/ DESLIGA PARA MÁQUINAS DE CORTE A LASER - VERDE,31,0,
Bateria Extra - Máquina Laser Vacina Anti furto,87,0,
CABEÇA CORTE LASER FIBRA RAYTOOLS BM06K 6000W FOCO AUTO F150,135,0,
CABEÇA DE CORTE COMPLETA DIREITO SEM REGULADOR DE AR,,0,
CABEÇA DE CORTE COMPLETA ESQUERDO SEM REGULADOR DE AR,,0,
CABEÇA DE CORTE COMPLETA SUPORTE E PARAFUSOS 24MM LENTE 20MM,160,0,
CABEÇA GALVONOMÉTRICA CO2 DE ALTA VELOCIDADE PARA LASER CO2,56,0,
CABO DE ALTA TENSÃO PARA TUBO LASER SEM PLUG,,0,
CABO DE EXTENSÃO MACHO E FÊMEA PLUG AND PLAY PARA LASER/CNC,,0,
CABO EXTENSOR USB A MACHO X B FÊMEA MÁQU LASER E IMPRESSORAS 5 METROS,,0,
CABO FLEX PP 4 VIAS DUPLA ISOLAÇÃO PVC MOTORES DE PASSO CNC,,0,
CABO PP FLEX 3 VIAS DUPLA ISOLAÇÃO ALIMENTAÇÃO PRINCI F+N +T,37,0,
CABO USB 2.0 PARA MAQUINA DE CORTE 5 METROS,,0,
CAPACITOR PARA O CHILLER CW 5000 / 5200 17uF PARTIDA,,0,
CERÂMICA PARA CABEÇOTE DE CORTE LASER RAYTOOLS -D32 -M14,65,0,
CHILLER CW-5200 S&A PARA MÁQUINAS DE CORTE A LASER.,30,0,
CHILLER CW-5202 S&A PARA MÁQUINAS DE CORTE A LASER.,36,0,
CHILLER JL-3000 PARA MÁQUINAS DE CORTE A LASER.,69,0,
COLA SPRAY PARA TECIDOS. CAIXA COM 24 UNIDADES,,0,
COLMEIA 1000X800 PARA MÁQUINAS DE CORTE A LASER,21,0,
COLMEIA 1400X900 PARA MÁQUINAS DE CORTE A LASER,,0,
COLMEIA 600X400,51,0,
COLMEIA 900X600 PARA MÁQUINAS DE CORTE A LASER,56,0,
COMPRESSOR DE CHILLER CW5000 E CW5200,,0,
CONECTOR YONGLI MACHO FEMEA,,0,
CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,,0,
CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,,0,
CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,,0,
CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,,0,
CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,,0,
CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,,0,
CONJUNTO 3 ESPELHOS DE 25MM DOURADO E 1 LENTE 20MM,23,0,
CONJUNTO 3 ESPELHOS DE 25MM DOURADO E 1 LENTE 20MM,,0,
CONJUNTO 3 ESPELHOS DE 25MM DOURADO E 1 LENTE 20MM,,0,
CONJUNTO 3 ESPELHOS DE 25MM DOURADO E 1 LENTE 20MM,,0,
CONJUNTO COM 02 SUPORTES DE ESPELHOS DE 25MM,23,0,
CONJUNTO PLACA CONTROLADORA RUDA RDC-6442 CPU + PAINEL HMI,,0,
CONJUNTO PLACA CONTROLADORA RUDA RDC-6445 (CPU + PAINEL HMI),,0,
CONJUNTO PLACA CONTROLADORA RUIDA RDC-6585G ( KIT COMPLETO),,0,
COOLER DO CHILLER CW5000/5200 2 FIOS,,0,
CORREIA 15MM LARGURA ABERTA DISTANCIA DOS DENTES 3MM,,0,
CORREIA 20MM LARGURA ABERTA DISTANCIA DOS DENTES 3M,,0,
CORREIA ALMA D AÇO 25MM LARGURA ABERTA T5 5MM DENTE QUADRADO,,0,
CORREIA ALMA DE AÇO 20MM DENTE T5 QUADRADO,,0,
CORREIA ALMA DE AÇO 35MM,,0,
CORREIA ALMA DE AÇO 50MM,31,0,
"CORREIA DA POLIA DO MOTOR X,Y 225-3M - 15MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y 255-3M - 10MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y 264-3M - 10MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y 264-3M - 15MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y 300-S3M - 10MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y 351-S3M - 10MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y HTD223-3M - 10MM",,0,
"CORREIA DA POLIA DO MOTOR X,Y HTD228-3M - 15MM",,0,
CORREIA DISTANCIA DOS DENTES T5MM ALMA DE AÇO 30MM,43,0,
CORREIA QUADRO MOVIMENTO 10MM LARGURA ABERTA DISTANCIA DENTES 2MM,,0,
Cabeça de Máquina de Corte a Laser de Fibra Raytools BM110,,0,
Cabo De Rede 5 Metros 5m 6Patch CAT6 U/UTP - 5 METROS 1GBPS,,0,
Cabo sensor laser Raytools- BM110/BM111/ BM115 /BT230 /BT240,40,0,
Ceramica do bico KT XB M11 Precitec ProCutter 2.0,,0,
Conector do sensor laser BM109 - Raytools,,0,
Conector do sensor laser BM110 NEW - Raytools,,0,
Conector do sensor laser BM110 OLD - Raytools,,0,
Conector do sensor laser BM111/BM110- Raytools,,0,
Conector do sensor laser BT240- Raytools,30,0,
Conector do sensor laser BT240S- Raytools,,0,
Conector do sensor laser F150- Raytools,,0,
CÂMERA PARA MAQUINA DE CORTE LASER KIT RDV6445G CONTORNO V S,,0,
DIODO LASER CO2 YONGLI MIRA LASER EXCLUSIVO PARA TUBO YONGLI,24,0,
DIODO PARA AJUSTE DE FOCO PARA FIBER LASER,,0,
DIODO RED POINT 12MM PARA FIBER LASER,149,0,
DIODO RED POINT EM CRUZ,21,0,
DIODO RED POINT MIRA LASER SUPORTE MAQUINA DE CORTE A LASER,169,0,
DIODO RED POINT PARA CABEÇA SINO-GALVO,91,0,
DOBRADIÇA PARA MAQUINA DE CORTE LASER 38x52 MM,,0,
DOBRADIÇA PARA MÁQUINAS DE CORTE A LASER 40X40MM,,0,
DOBRADIÇA PARA MÁQUINAS DE CORTE A LASER 60X60MM,,0,
"DRIVE DE MOVIMENTO 3DM580/583 s X, Y LEADSHINE",,0,
DRIVE DE MOVIMENTO 422 LEADSHINE,,0,
DRIVE LEADSHINE DM542-05,,0,
EIXO DE FIXAÇÃO DE PEÇAS PARA CORTE,32,0,
EIXO ROTATIVO 04 FIOS PARA MÁQUINAS PEQUENAS,63,0,
EIXO ROTATIVO 3 FASES PARA GRAVACOES EM PECAS CILINDRÍCAS,88,0,
EIXO ROTATIVO AUTOMATICO,,0,
EIXO ROTATIVO COM MOTOR 3 FASES PARA GRAVAÇÕES CILINDRÍCAS,,0,
EIXO ROTATIVO PARA CANETAS,,0,
EIXO ROTATIVO PARA MÁQUINA GALVONOMETRICA,46,0,
ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,,0,
ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,,0,
ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,,0,
ESPELHOS BLACK REFLETOR MOLIBDÊNIO MÁQUINAS CORTE LASER CO2,,0,
ESTABILIZADOR ENERGIA 3.3 KWA 220V MÁQUINAS DE CORTE A LASER,,0,
ESTABILIZADOR ENERGIA 4 KWA 220V PARA MÁQUINAS CORTE A LASER,,0,
ESTEIRA PORTA CABO DO MOVIMENTO Y 10x20,30,0,
"ESTICADOR DO ROLAMENTO DO QUADRO X,Y COM PARAFUSOS",,0,
EXAUSTOR PARA MÁQUINAS DE CORTE A LASER 750W MOD: ML750,90,0,
EXAUSTOR PARA MÁQUINAS DE CORTE A LASER 950W,,0,
FLY BACK 100W PARA FONTES BLACK,,0,
FLY BACK 100W PARA FONTES RECI DY-13,,0,
FLY BACK 130/150W PARA FONTES BLACK,23,0,
FLY BACK 130/150W PARA FONTES RECI DY-20,22,0,
FLY BACK 40/50W PARA FONTES DE MÁQUINAS DE CORTE A LASER STANDART,44,0,
FLY BACK 80/90W PARA FONTES RECI DY-10,,0,
FLY BACK 80W PARA FONTES BLACK,,0,
FLY BACK PAR 60/70W FONTES DE MÁQUINAS CORTE LASER STANDART,74,0,
FONTE CHAVEADA 12V 5AMP,,0,
FONTE CHAVEADA 24V 10AMP,45,0,
FONTE CHAVEADA 24V 15A,,0,
FONTE CHAVEADA 24V 5AMP,23,0,
FONTE CHAVEADA 36V 9.7AMP PARA MÁQUINAS DE CORTE A LASER,85,0,
FONTE CHAVEADA 48V 10AMP PARA MÁQUINAS DE CORTE A LASER,382,0,
FONTE CHAVEADA 55W +15 -15,,0,
FONTE CHAVEADA 5V 3AMP PARA MÁQUINAS DE CORTE A LASER,145,0,
FONTE LASER 100W HY,174,0,
FONTE LASER 130W BLACK,60,0,
FONTE LASER 130W YUEMING,143,0,
FONTE LASER 150W - YUEMING,,0,
FONTE LASER 150W HY,29,0,
FONTE LASER 180W BLACK,148,0,
FONTE LASER 50W HY,42,0,
FONTE LASER 50W ZYE,,0,
FONTE LASER 60W HY,269,0,
FONTE LASER 60W ZYE,,0,
FONTE LASER 80W HY,,0,
FONTE LASER 80W ZYE,,0,
FONTE LASER DY20 130/150W,40,0,
FONTE LASER RECI DY-13 100W,70,0,
FONTE LASER YUEMING 100W,23,0,
FONTE PARA CHILLER CHAVEADA 24V 5A ESPECIAL,29,0,
FONTE RAYCUS 30W,136,0,
Fonte ZYE - 100w,185,0,
GERADOR DE FIBRA LASER RAYCUS (FONTE FIBER LASER) 20QB,,0,
GERADOR DE FIBRA LASER RAYCUS (FONTE FIBER LASER) 30QB,27,0,
GERADOR DE FIBRA LASER RAYCUS (FONTE FIBER LASER) 30QS,32,0,
GERADOR DE FIBRA LASER RAYCUS (FONTE FIBER LASER) 50QB,,0,
JOGO DE CHAVE ALLEN COM 9 PEÇAS 1.5MM A 10MM PONTA ABAULADA,,0,
"Janela de proteção Precitec, D21.5",,0,
Janela de proteção inferior D30 T5 Thunder 12kW PRECITEC,,0,
KIT CAMERA C02 PARA TORRE COM 1 MOVIMENTO,172,0,
KIT CAMERA C02 PARA TORRE COM 2 MOVIMENTOS,79,0,
KIT COMBINADOR DE FEIXE,21,0,
Kit Bico Solda Laser Original Raytools Cabeçote BW101-GS 13,,0,
LENTE AMERICANA (ZnSe) DF 50.8 MM 12MM,30,0,
LENTE BICONVEXA COLIMAÇÃO CABEÇOTE FIBER RAYTOLLS D28 F100,,0,
LENTE COLIMAÇÃO (CABEÇOTE FIBER RAYTOOLS) D28-F100,,0,
LENTE COLIMAÇÃO (CABEÇOTE FIBER RAYTOOLS) D28-F75,,0,
LENTE COLIMAÇÃO (CABEÇOTE FIBER RAYTOOLS) D30-F100,22,0,
LENTE DE BICONVEXA COLIMAÇÃO CABEÇOTE FIBER RAYTOLLS D28 F75,,0,
LENTE DE BICONVEXA COLIMAÇÃO CABEÇOTE FIBER RAYTOLLS D30 F75,21,0,
LENTE DE BICONVEXA DE COLIMAÇÃO (CABEÇOTE FIBER RAYTOLLS) D30 -F100,,0,
LENTE DE COMBINAÇÃO PARA FIBER 1064NM 20MM,,0,
LENTE DE FOCO CO2 F-THETA (USA),,0,
LENTE DE FOCO CO2 F-THETA (USA),,0,
LENTE DE FOCO CO2 F-THETA (USA),,0,
"LENTE DE FOCO COM SUPORTE DE LENTE PARA CABEÇA DE CORTE LASER RAYTOOLS, D28 - F150 -BT210",,0,
"LENTE DE FOCO COM SUPORTE DE LENTE PARA CABEÇA DE CORTE LASER RAYTOOLS, D30 - F125 -BM111/BM110",,0,
"LENTE DE FOCO COM SUPORTE DE LENTE PARA CABEÇA DE CORTE LASER RAYTOOLS, D30 - F125 -BT240",47,0,
LENTE DE FOCO PARA RAYTOOLS (CABEÇOTE FIBER RAYTO0LS) -D28-F125,,0,
LENTE DE FOCO PARA RAYTOOLS (CABEÇOTE FIBER RAYTOOLS) -D30-F125,27,0,
LENTE DE FOCO PARA RAYTOOLS (CABEÇOTE FIBER RAYTOOLS) -D37-F100 BM06K,54,0,
LENTE DE FOCO PARA RAYTOOLS CABEÇOTE FIBER RAYTOOLS D28-F150,,0,
LENTE DE FOCO PARA RAYTOOLS CABEÇOTE FIBER RAYTOOLS D30-F200,,0,
LENTE DE PROTEÇÃO INFERIOR JGS1 37x7 mm,,0,
LENTE DE PROTEÇÃO- 2000W,,0,
LENTE DE PROTEÇÃO- 2000W,,0,
LENTE DE PROTEÇÃO- 2000W,,0,
LENTE DE PROTEÇÃO- 3000W,,0,
LENTE DE PROTEÇÃO- 3000W,21,0,
LENTE DE PROTEÇÃO- 3000W,,0,
LENTE DE PROTEÇÃO- 6000W,,0,
LENTE DE PROTEÇÃO- 6000W,,0,
LENTE FOCO PARA RAYTOOLS BICONVEXA CABEÇOTE FIBER D30-F200,,0,
LENTE FOCO RAYTOOLS BICONVEXA CABEÇOTE FIBER RAYTOLL D30F150,25,0,
LENTE FOCO RAYTOOLS BICONVEXA CABEÇOTE FIBER RAYTOOL D28F125,,0,
LENTE FOCO RAYTOOLS BICONVEXA CABEÇOTE FIBER RAYTOOL D28F150,,0,
LENTE FOCO RAYTOOLS BICONVEXA CABEÇOTE FIBER RAYTOOL D30F125,,0,
LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F150-BM110,,0,
LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F155 BT240,,0,
LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F155-BM111,,0,
LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F200-BM110,,0,
LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F200-BM111,,0,
LENTE FOCO SUPORTE LENTE CABEÇA CORTE LASER D30 - F200-BT240,,0,
LENTE PARA FIBER LASER,,0,
LENTE PARA FIBER LASER,,0,
LENTE PARA FIBER LASER,,0,
LENTE PARA FIBER LASER,,0,
LENTE PARA FIBER LASER,,0,
LENTE PARA MÁQUINAS UV,,0,
LENTE PARA MÁQUINAS UV,,0,
LENTE PARA MÁQUINAS UV,,0,
LENTE PARA MÁQUINAS UV,,0,
LENTE PARA MÁQUINAS UV,,0,
LENTE ÓPTICA D28 125MM,,0,
LENTES AMERICANAS (II-VI) 19MM,,0,
LENTES AMERICANAS (II-VI) 19MM,,0,
LENTES AMERICANAS (II-VI) 19MM,,0,
LENTES AMERICANAS (II-VI) 20MM,,0,
LENTES AMERICANAS (II-VI) 20MM,,0,
LENTES AMERICANAS (II-VI) 20MM,,0,
LENTES AMERICANAS (II-VI) 25MM,,0,
LENTES AMERICANAS (II-VI) 25MM,,0,
LENTES AMERICANAS (II-VI) 25MM,,0,
LENTES AMERICANAS (II-VI) 25MM,,0,
LENTES AMERICANAS (ZNSE) 20MM,,0,
LENTES AMERICANAS (ZNSE) 20MM,,0,
LENTES AMERICANAS (ZNSE) 20MM,,0,
Lente Colimadora D28 F100 Raytools BT210 Com Barril,,0,
Lente Colimadora D28 F75 Raytools BT210 Com Barril,,0,
Lente Colimadora D30 F100 Raytools BT240 Com Barril,34,0,
Lente Colimadora D30 F100 Raytools Bm110/Bm111 Com Barril,,0,
Lente Colimadora D30 F100 Raytools Bm111/Bm110 Com Barril,21,0,
Lente Colimadora D30 F75 Raytools Bm111 Com Barril,,0,
Lente Colimadora D30 F75 Raytools Bm111 Com Barril,,0,
Lente De Focalização D20 - F150 PARA MÁQUINA DE SOLDA,,0,
Lente Protetora Para Solda Laser D20 T3 - Foco Solda Laser,23,0,
"Lente de Proteção da Fibra QBH Ø12,9mm*9,4mm Gold 6kW",,0,
Lente para Máquina Fiber Laser Vacina Anti-furto,21,0,
MANGUEIRA DE EXAUSTÃO 5 METROS CINZA,,0,
MEDIDOR DE POTENCIA DO LASER CO2,,0,
MILIAMPERÍMETRO 30MA PARA MÁQUINAS DE CORTE A LASER,,0,
MILIAMPERÍMETRO 50mA PARA MÁQUINAS DE CORTE A LASER,,0,
MODULO DE PROTEÇÃO PARA FONTE LASER STANDARD 100W,,0,
MOTOR DE PASSO LEADSHINE 2 FASES - 57HS21,39,0,
MOTOR DE PASSO LEADSHINE 3 FASES - 573S10,,0,
MOTOR DE PASSO LEADSHINE 573S20-LS,,0,
MOTOR SERVO PARA MAQUINA DE BORDADO,28,0,
Maquinas de corte a Laser 1610 BestBeam - 2 Cabecas,133,0,
Maquinas de corte a Laser 1610 BestBeam - 2 Cabecas,98,0,
Maquinas de corte a Laser 1610 BestBeam - 2 Cabecas,,0,
Maquinas de corte a Laser 1610 BestBeam - 2 Cabecas,31,0,
Motor -Leadshine H2-506 DC Hybird Servo Drive 24-48VDC 6A RMS CNC MOTION CONTROLLER,,0,
MÁQUINA 6040 DESKTOP COM CHILLER CW3000,107,0,
MÁQUINA 6040 DESKTOP COM CHILLER CW3000,24,0,
MÁQUINA DE CORTE 7050 80W- COM MESA MÓVEL - CHILLER CW-3000,144,0,
MÁQUINA DE CORTE 7050 80W- COM MESA MÓVEL - CHILLER CW-3000,37,0,
MÁQUINA DE CORTE A LASER 130 WATTS MODELO ML-1610,118,0,
MÁQUINA DE CORTE A LASER 130X90 100W COM CÂMERA DE VISÃO,97,0,
MÁQUINA DE CORTE A LASER 150W MODELO 1325 COM CAMERA,170,0,
MÁQUINA DE CORTE A LASER 150W MODELO ML-1610T - DUAS CABEÇAS,451,0,
MÁQUINA DE CORTE A LASER ML 4 CABEÇAS 1610 - 100w,139,0,
MÁQUINA DE CORTE A LASER ML 4 CABEÇAS 1610 - 150w,94,0,
MÁQUINA DE CORTE A LASER ML 4 CABEÇAS 1810 - 100W,146,0,
MÁQUINA DE CORTE A LASER ML 4 CABEÇAS 1810 - 150W,184,0,
MÁQUINA DE GRAVAÇÃO LASER CO2 35W,1041,0,
MÁQUINA FIBER LASE 15X 15 30W COM SISTEMA (TOUCH SCREEN),139,0,
MÁQUINA FIBER LASER 20W ÁREA 11X11,,0,
MÁQUINA FIBER LASER 50W GRAVAÇÃO EM METAL,157,0,
MÁQUINA FIBER LASER PORTÁTIL 15X15 30W,472,0,
Máquina 1810 Bestbeam 4 Cabeças,63,0,
Máquina 1810 Bestbeam 4 Cabeças,75,0,
Máquina 1810 Bestbeam 4 Cabeças,,0,
Máquina 1810 Bestbeam 4 Cabeças,30,0,
Máquina Laser Fibra UV 5W Portátil,262,0,
Máquina de Gravação a Laser com Câmera automática - CCD UV,371,0,
Máquina de corte a Laser 1310 BestBeam - 1 Cabeça,,0,
Máquina de corte a Laser 1310 BestBeam - 1 Cabeça,,0,
Máquina de corte a Laser 1310 BestBeam - 1 Cabeça,37,0,
Máquina de corte a Laser 1310 BestBeam - 1 Cabeça,31,0,
