Informações do leilão - pesquisa
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-04-12,amazon.com.br,"15,71%","24,92%","69,39%","89,52%","34,39%","4,34%"
2026-04-15,amazon.com.br,"11,69%","20,95%","52,17%","88,90%","27,21%","5,62%"
2026-04-16,amazon.com.br,"12,56%","19,68%","47,76%","89,43%","32,02%","4,85%"
2026-04-17,amazon.com.br,"11,63%","19,51%","46,54%","88,20%","30,87%","5,35%"
2026-05-12,amazon.com.br,"16,14%","26,13%","60,49%","85,60%","23,13%","5,23%"
2026-05-13,amazon.com.br,"13,80%","21,12%","51,34%","87,41%","20,16%","10,03%"
2026-05-14,amazon.com.br,"19,00%","21,53%","59,27%","86,90%","30,51%","8,96%"
2026-05-15,amazon.com.br,"19,31%","23,81%","56,25%","87,23%","31,54%","5,58%"
2026-05-16,amazon.com.br,"18,58%","22,13%","54,82%","87,28%","32,34%","4,62%"
2026-05-17,amazon.com.br,"18,96%","23,09%","62,05%","86,80%","30,71%","4,47%"
2026-05-27,amazon.com.br,"42,61%","40,35%","77,63%","91,73%","54,86%","4,26%"
2026-05-28,amazon.com.br,"40,47%","39,83%","73,59%","90,92%","49,38%","5,26%"
2026-05-29,amazon.com.br,"40,52%","30,32%","61,70%","91,04%","52,74%","8,47%"
2026-05-30,amazon.com.br,"40,44%","46,61%","72,73%","91,49%","49,86%","6,66%"
2026-06-07,amazon.com.br,"22,04%","26,54%","25,36%","88,44%","26,19%","18,18%"
2026-06-08,amazon.com.br,"27,22%","29,27%","30,00%","85,77%","25,15%","20,99%"
2026-06-09,amazon.com.br,"13,70%","7,81%","40,00%","93,15%","31,51%","23,26%"
2026-06-10,amazon.com.br,"14,21%","16,39%","5,00%","87,04%","14,81%","31,84%"
2026-06-11,amazon.com.br,"13,49%","22,00%","4,55%","90,24%","19,51%","32,57%"
2026-06-12,amazon.com.br,"11,76%","16,13%","0,00%","93,33%","6,67%","36,47%"
2026-07-01,amazon.com.br,"57,12%","59,48%","76,81%","76,82%","46,36%","7,94%"
2026-07-02,amazon.com.br,"58,18%","61,88%","78,26%","74,63%","45,95%","4,72%"
2026-07-03,amazon.com.br,"61,09%","67,34%","84,21%","81,81%","52,46%","3,57%"
2026-07-04,amazon.com.br,"59,43%","68,47%","82,01%","81,83%","49,41%","4,72%"
2026-07-05,amazon.com.br,"58,23%","65,15%","81,17%","81,68%","51,77%","6,22%"
2026-07-06,amazon.com.br,"55,18%","55,72%","84,79%","80,63%","49,26%","4,34%"
2026-06-09,aresaude.com.br,< 10%,"3,91%","20,00%","97,06%","26,47%","23,83%"
2026-06-11,asmadojeitocerto.com.br,< 10%,"0,00%", --,"76,47%","47,06%","32,89%"
2026-06-12,asmadojeitocerto.com.br,"10,20%","0,00%", --,"84,62%","76,92%","36,47%"
2026-07-03,aspiradorsirenabrasil.com.br,< 10%,"7,85%","51,61%","62,90%","18,02%","7,92%"
2026-07-04,aspiradorsirenabrasil.com.br,< 10%,"11,23%","59,65%","63,79%","24,71%","10,03%"
2026-05-12,coompare.com.br,< 10%,"7,20%","64,18%","78,00%","23,89%","5,92%"
2026-05-13,coompare.com.br,< 10%,"5,95%","53,57%","78,45%","20,80%","10,89%"
2026-05-17,coompare.com.br,< 10%,"4,12%","75,00%","81,32%","24,69%","5,06%"
2026-05-27,coompare.com.br,< 10%,"1,95%","72,73%","82,67%","21,92%","6,11%"
2026-05-28,coompare.com.br,< 10%,"3,09%","59,09%","85,59%","28,81%","7,30%"
2026-07-01,coompare.com.br,< 10%,"6,03%","71,43%","53,03%","13,64%","14,00%"
2026-07-02,coompare.com.br,< 10%,"9,42%","76,19%","61,24%","13,40%","8,49%"
2026-07-03,coompare.com.br,< 10%,"6,84%","66,67%","54,24%","13,90%","7,88%"
2026-07-05,coompare.com.br,< 10%,"5,57%","66,67%","60,27%","15,35%","12,72%"
2026-07-06,coompare.com.br,< 10%,"5,30%","64,00%","63,88%","11,04%","7,95%"
2026-05-29,dysonoficial.com.br,< 10%,"4,52%","42,86%","82,08%","37,74%","10,22%"
2026-01-20,electrolux.com.br,< 10%,"4,43%","56,14%","90,07%","53,37%","5,92%"
2026-01-27,electrolux.com.br,< 10%,"4,09%","66,15%","94,79%","37,79%","8,41%"
2026-04-10,electrolux.com.br,< 10%,"7,21%","50,00%","93,04%","44,06%","6,76%"
2026-04-15,electrolux.com.br,< 10%,"4,01%","77,27%","94,62%","54,58%","6,11%"
2026-04-16,electrolux.com.br,< 10%,"6,75%","63,04%","92,83%","46,30%","5,12%"
2026-04-17,electrolux.com.br,< 10%,"7,36%","65,00%","90,52%","44,94%","5,61%"
2026-05-12,electrolux.com.br,< 10%,"5,16%","77,08%","90,19%","41,38%","5,96%"
2026-05-13,electrolux.com.br,< 10%,"6,09%","72,09%","91,15%","42,06%","10,75%"
2026-05-14,electrolux.com.br,< 10%,"3,80%","74,14%","93,66%","36,06%","9,99%"
2026-05-15,electrolux.com.br,< 10%,"3,77%","57,89%","89,36%","38,03%","6,30%"
2026-05-16,electrolux.com.br,< 10%,"5,87%","70,45%","92,57%","42,33%","5,04%"
2026-05-17,electrolux.com.br,< 10%,"6,39%","67,74%","93,25%","42,63%","4,99%"
2026-05-27,electrolux.com.br,< 10%,"2,30%","76,92%","94,63%","35,95%","6,09%"
2026-05-28,electrolux.com.br,< 10%,"2,24%","68,75%","96,05%","42,67%","7,33%"
2026-05-30,electrolux.com.br,< 10%,"2,97%","57,14%","94,84%","40,74%","9,90%"
2026-07-03,electrolux.com.br,< 10%,"4,05%","62,50%","80,47%","16,02%","8,04%"
2026-07-06,electrolux.com.br,< 10%,"5,72%","96,30%","83,24%","32,98%","7,78%"
2026-05-14,eletrosinter.com.br,< 10%,"5,43%","51,81%","88,58%","21,27%","9,99%"
2026-05-16,eletrosinter.com.br,< 10%,"3,33%","44,00%","92,60%","25,52%","5,18%"
2026-05-17,eletrosinter.com.br,< 10%,"5,05%","63,27%","92,10%","30,70%","5,05%"
2026-05-27,eletrosinter.com.br,< 10%,"5,66%","71,88%","93,99%","23,45%","5,95%"
2026-05-28,eletrosinter.com.br,< 10%,"6,03%","55,81%","90,43%","24,79%","7,19%"
2026-05-29,eletrosinter.com.br,< 10%,"3,23%","40,00%","85,53%","19,74%","10,28%"
2026-05-30,eletrosinter.com.br,< 10%,"5,85%","60,87%","90,90%","28,19%","9,71%"
2026-06-08,eletrosinter.com.br,< 10%,"0,73%","100,00%","87,04%","40,74%","22,84%"
2026-06-09,eletrosinter.com.br,< 10%,"1,56%","50,00%","92,86%","28,57%","23,83%"
2026-07-01,eletrosinter.com.br,< 10%,"3,45%","25,00%","70,73%","7,32%","14,50%"
2026-07-02,eletrosinter.com.br,< 10%,"6,73%","53,33%","51,52%","4,55%","8,82%"
2026-07-03,eletrosinter.com.br,< 10%,"8,61%","73,53%","74,81%","20,61%","7,73%"
2026-07-04,eletrosinter.com.br,< 10%,"7,39%","50,67%","72,57%","18,95%","10,35%"
2026-07-05,eletrosinter.com.br,< 10%,"8,87%","66,28%","73,57%","24,07%","12,44%"
2026-07-06,eletrosinter.com.br,< 10%,"8,26%","56,41%","71,03%","22,53%","7,85%"
2026-02-28,gruporainbow.com.br,< 10%,"3,70%","100,00%","97,50%","97,50%","38,52%"
2026-03-31,gruporainbow.com.br,"19,93%","33,96%","86,11%","95,52%","82,06%","6,70%"
2026-05-29,gruporainbow.com.br,< 10%,"18,71%","51,72%","94,94%","69,62%","9,41%"
2026-06-07,gruporainbow.com.br,"22,79%","51,92%","86,30%","97,86%","87,34%","10,76%"
2026-06-08,gruporainbow.com.br,"22,50%","48,54%","87,44%","94,26%","81,30%","13,24%"
2026-06-09,gruporainbow.com.br,"22,33%","49,22%","69,84%","91,60%","71,43%","15,76%"
2026-06-10,gruporainbow.com.br,"28,42%","50,82%","48,39%","96,30%","68,52%","24,21%"
2026-06-11,gruporainbow.com.br,"39,14%","63,00%","66,67%","91,60%","74,79%","19,08%"
2026-06-12,gruporainbow.com.br,"45,88%","58,06%","48,15%","86,32%","55,56%","26,27%"
2026-07-04,guiasdeprodutos.com.br,< 10%,"3,45%","42,86%","27,24%","11,59%","10,60%"
2026-01-20,magazineluiza.com.br,< 10%,"8,01%","36,89%","76,07%","18,82%","5,89%"
2026-01-21,magazineluiza.com.br,< 10%,"7,70%","43,88%","81,48%","15,09%","7,19%"
2026-01-26,magazineluiza.com.br,< 10%,"8,94%","40,74%","50,32%","12,74%","7,00%"
2026-01-27,magazineluiza.com.br,< 10%,"7,92%","40,48%","81,65%","15,48%","8,37%"
2026-01-29,magazineluiza.com.br,< 10%,"9,97%","36,64%","76,07%","20,75%","5,75%"
2026-01-31,magazineluiza.com.br,< 10%,"6,05%","51,52%","76,92%","23,71%","6,66%"
2026-03-24,magazineluiza.com.br,"10,60%","17,03%","24,07%","62,88%","4,44%","5,73%"
2026-03-31,magazineluiza.com.br,< 10%,"7,55%","12,50%","74,36%","11,54%","9,38%"
2026-04-01,magazineluiza.com.br,< 10%,"12,09%","22,73%","73,14%","13,91%","7,78%"
2026-04-09,magazineluiza.com.br,< 10%,"9,61%","60,71%","86,62%","26,29%","6,37%"
2026-04-10,magazineluiza.com.br,< 10%,"11,32%","50,55%","85,95%","26,08%","6,61%"
2026-04-11,magazineluiza.com.br,< 10%,"7,26%","50,00%","83,07%","19,71%","6,99%"
2026-04-12,magazineluiza.com.br,< 10%,"5,76%","52,94%","82,37%","20,62%","5,09%"
2026-04-15,magazineluiza.com.br,< 10%,"12,02%","56,06%","81,31%","25,24%","5,88%"
2026-04-16,magazineluiza.com.br,< 10%,"8,37%","50,88%","85,21%","27,25%","5,12%"
2026-04-17,magazineluiza.com.br,< 10%,"10,92%","56,18%","84,40%","21,74%","5,53%"
2026-05-12,magazineluiza.com.br,"12,24%","7,42%","56,52%","80,79%","22,87%","5,95%"
2026-05-13,magazineluiza.com.br,< 10%,"7,94%","56,25%","82,13%","22,84%","10,75%"
2026-05-14,magazineluiza.com.br,< 10%,"4,58%","48,57%","80,32%","19,51%","10,05%"
2026-05-15,magazineluiza.com.br,< 10%,"5,16%","61,54%","82,37%","14,98%","6,24%"
2026-05-16,magazineluiza.com.br,< 10%,"5,47%","41,46%","81,16%","19,70%","5,14%"
2026-05-17,magazineluiza.com.br,< 10%,"5,15%","56,00%","79,06%","19,41%","5,07%"
2026-05-27,magazineluiza.com.br,< 10%,"3,19%","61,11%","84,70%","17,84%","6,08%"
2026-05-28,magazineluiza.com.br,< 10%,"3,93%","53,57%","84,64%","19,54%","7,28%"
2026-05-29,magazineluiza.com.br,< 10%,"2,58%","25,00%","77,78%","11,11%","10,35%"
2026-05-30,magazineluiza.com.br,< 10%,"4,75%","55,36%","83,93%","17,36%","9,81%"
2026-06-08,magazineluiza.com.br,< 10%,"0,49%","100,00%","87,38%","18,45%","22,90%"
2026-06-09,magazineluiza.com.br,< 10%,"0,78%","0,00%","81,48%","18,52%","24,02%"
2026-07-01,magazineluiza.com.br,"12,74%","7,76%","88,89%","71,29%","17,82%","13,62%"
2026-07-02,magazineluiza.com.br,"17,88%","12,11%","55,56%","58,26%","6,88%","8,53%"
2026-07-03,magazineluiza.com.br,< 10%,"8,35%","42,42%","56,51%","9,03%","7,96%"
2026-07-04,magazineluiza.com.br,"15,27%","14,09%","66,43%","63,29%","7,56%","9,75%"
2026-07-05,magazineluiza.com.br,"13,67%","12,58%","60,66%","59,76%","11,16%","12,20%"
2026-07-06,magazineluiza.com.br,"14,37%","10,59%","80,00%","60,92%","11,41%","7,53%"
2026-01-16,mercadolivre.com.br,"27,81%","38,00%","36,84%","82,89%","43,45%","7,99%"
2026-01-20,mercadolivre.com.br,"33,09%","46,58%","53,92%","88,96%","59,26%","4,55%"
2026-01-21,mercadolivre.com.br,"29,48%","46,35%","56,27%","88,87%","55,32%","5,50%"
2026-01-26,mercadolivre.com.br,"31,54%","46,62%","65,06%","89,95%","53,99%","5,06%"
2026-01-27,mercadolivre.com.br,"30,36%","48,15%","58,88%","84,90%","51,76%","6,19%"
2026-01-29,mercadolivre.com.br,"27,36%","40,79%","59,14%","84,19%","52,41%","4,53%"
2026-01-31,mercadolivre.com.br,"32,60%","43,26%","63,77%","91,03%","57,32%","4,98%"
2026-02-28,mercadolivre.com.br,"43,46%","62,96%","37,25%","89,20%","36,36%","30,62%"
2026-03-24,mercadolivre.com.br,"32,39%","45,11%","37,06%","89,01%","37,15%","4,97%"
2026-03-31,mercadolivre.com.br,"36,46%","40,57%","25,58%","88,24%","39,71%","8,49%"
2026-04-01,mercadolivre.com.br,"36,02%","48,63%","32,20%","89,33%","41,83%","6,74%"
2026-04-09,mercadolivre.com.br,"37,56%","49,91%","59,45%","87,60%","55,80%","4,76%"
2026-04-10,mercadolivre.com.br,"35,25%","49,50%","59,80%","91,22%","53,02%","4,93%"
2026-04-11,mercadolivre.com.br,"37,11%","44,70%","66,88%","91,04%","56,35%","5,08%"
2026-04-12,mercadolivre.com.br,"39,93%","42,71%","71,03%","92,67%","57,31%","3,66%"
2026-04-15,mercadolivre.com.br,"35,59%","41,53%","65,35%","88,35%","53,36%","4,60%"
2026-04-16,mercadolivre.com.br,"33,69%","39,79%","58,67%","90,70%","51,86%","4,10%"
2026-04-17,mercadolivre.com.br,"33,88%","42,33%","63,48%","90,53%","54,29%","4,31%"
2026-05-12,mercadolivre.com.br,"46,80%","49,03%","66,23%","87,51%","54,52%","4,19%"
2026-05-13,mercadolivre.com.br,"45,17%","54,00%","66,80%","88,60%","53,78%","7,19%"
2026-05-14,mercadolivre.com.br,"46,28%","47,32%","62,10%","89,95%","51,43%","7,26%"
2026-05-15,mercadolivre.com.br,"39,90%","41,47%","59,57%","88,57%","47,95%","4,85%"
2026-05-16,mercadolivre.com.br,"37,01%","41,60%","58,65%","91,19%","47,27%","3,97%"
2026-05-17,mercadolivre.com.br,"42,38%","45,05%","64,53%","90,58%","49,60%","3,70%"
2026-05-27,mercadolivre.com.br,"37,16%","31,15%","61,36%","92,58%","31,37%","5,02%"
2026-05-28,mercadolivre.com.br,"38,33%","29,17%","62,02%","91,78%","36,48%","6,09%"
2026-05-29,mercadolivre.com.br,"33,53%","34,84%","48,15%","91,58%","27,05%","8,67%"
2026-05-30,mercadolivre.com.br,"37,71%","35,93%","62,74%","91,94%","34,64%","7,80%"
2026-06-07,mercadolivre.com.br,"51,80%","63,08%","43,29%","90,09%","37,84%","14,17%"
2026-06-08,mercadolivre.com.br,"54,83%","68,78%","51,06%","91,40%","37,56%","14,93%"
2026-06-09,mercadolivre.com.br,"49,91%","60,94%","38,46%","93,98%","32,33%","18,39%"
2026-06-10,mercadolivre.com.br,"31,84%","53,28%","24,62%","92,56%","25,62%","27,89%"
2026-06-11,mercadolivre.com.br,"33,88%","62,00%","16,13%","86,41%","13,59%","29,61%"
2026-06-12,mercadolivre.com.br,"41,18%","61,29%","17,54%","92,38%","11,43%","32,55%"
2026-07-01,mercadolivre.com.br,"58,26%","58,62%","73,53%","79,87%","36,80%","8,32%"
2026-07-02,mercadolivre.com.br,"63,47%","66,82%","77,85%","80,49%","43,15%","4,39%"
2026-07-03,mercadolivre.com.br,"55,45%","63,29%","78,40%","80,86%","32,71%","4,16%"
2026-07-04,mercadolivre.com.br,"56,71%","65,22%","78,70%","83,15%","37,26%","5,23%"
2026-07-05,mercadolivre.com.br,"51,50%","60,72%","79,29%","81,70%","33,64%","6,85%"
2026-07-06,mercadolivre.com.br,"57,79%","64,83%","76,14%","80,97%","36,17%","4,17%"
2026-05-12,my-best.com,< 10%,"5,05%","55,32%","88,01%","29,61%","6,04%"
2026-05-13,my-best.com,< 10%,"5,81%","59,76%","88,63%","32,19%","10,86%"
2026-05-14,my-best.com,< 10%,"4,38%","41,79%","90,85%","32,32%","10,09%"
2026-05-16,my-best.com,< 10%,"1,87%","57,14%","89,89%","31,72%","5,20%"
2026-05-17,my-best.com,< 10%,"2,99%","55,17%","89,66%","31,53%","5,13%"
2026-07-01,my-best.com,"10,84%","10,34%","91,67%","76,74%","25,58%","13,24%"
2026-07-02,my-best.com,"11,97%","8,07%","50,00%","61,64%","19,86%","8,77%"
2026-07-03,my-best.com,"10,55%","4,05%","56,25%","73,47%","25,35%","8,07%"
2026-07-04,my-best.com,< 10%,"4,73%","45,83%","73,00%","20,45%","10,52%"
2026-07-05,my-best.com,< 10%,"6,29%","59,02%","69,65%","24,63%","12,72%"
2026-07-06,my-best.com,< 10%,"7,63%","72,22%","72,76%","28,65%","7,78%"
2026-07-05,oster.com.br,< 10%,"5,77%","58,93%","61,21%","19,80%","12,76%"
2026-07-06,oster.com.br,< 10%,"5,93%","60,71%","56,93%","15,84%","7,93%"
2026-03-31,pro-aqua.com.br,< 10%,"7,55%","12,50%","89,09%","37,27%","9,38%"
2026-06-09,pro-aqua.com.br,< 10%,"10,94%","42,86%","80,43%","34,78%","22,89%"
2026-06-11,pro-aqua.com.br,< 10%,"15,00%","13,33%","70,00%","16,67%","32,24%"
2026-06-12,pro-aqua.com.br,"10,98%","16,13%","40,00%","89,29%","21,43%","34,12%"
2026-06-12,programafazbem.com.br,< 10%,"0,00%", --,"94,74%","0,00%","36,47%"
2026-01-16,shopee.com.br,"12,27%","15,20%","13,16%","73,03%","17,88%","9,11%"
2026-01-20,shopee.com.br,"12,93%","19,67%","33,60%","76,45%","20,99%","5,67%"
2026-01-21,shopee.com.br,< 10%,"13,75%","44,00%","78,25%","22,91%","7,00%"
2026-01-26,shopee.com.br,"10,19%","17,02%","46,69%","80,59%","24,33%","6,69%"
2026-01-27,shopee.com.br,< 10%,"16,03%","43,53%","79,73%","24,46%","8,04%"
2026-01-29,shopee.com.br,"15,87%","20,55%","35,93%","74,01%","32,98%","5,53%"
2026-01-31,shopee.com.br,"13,54%","13,66%","47,65%","81,15%","25,37%","6,43%"
2026-02-28,shopee.com.br,"12,35%","14,81%","8,33%","76,00%","10,00%","39,51%"
2026-03-24,shopee.com.br,< 10%,"7,89%","24,00%","84,80%","7,02%","5,86%"
2026-03-31,shopee.com.br,< 10%,"5,66%","16,67%","87,14%","12,86%","9,38%"
2026-04-01,shopee.com.br,"17,81%","25,00%","19,78%","82,49%","21,33%","7,60%"
2026-04-09,shopee.com.br,< 10%,"10,46%","36,07%","87,35%","13,84%","6,51%"
2026-04-10,shopee.com.br,< 10%,"8,58%","46,38%","86,01%","13,41%","6,73%"
2026-04-11,shopee.com.br,< 10%,"8,42%","43,10%","87,35%","17,23%","6,99%"
2026-04-12,shopee.com.br,< 10%,"6,44%","47,37%","85,20%","13,49%","5,09%"
2026-04-15,shopee.com.br,< 10%,"8,38%","45,65%","87,91%","22,19%","6,07%"
2026-04-16,shopee.com.br,< 10%,"7,34%","54,00%","88,24%","20,92%","5,14%"
2026-04-17,shopee.com.br,< 10%,"7,98%","50,77%","84,59%","16,42%","5,65%"
2026-05-12,shopee.com.br,"10,36%","7,85%","64,38%","83,49%","14,18%","5,90%"
2026-05-13,shopee.com.br,< 10%,"8,86%","48,80%","84,62%","11,77%","10,76%"
2026-05-14,shopee.com.br,"10,07%","7,46%","38,60%","83,37%","12,42%","9,98%"
2026-05-15,shopee.com.br,< 10%,"6,05%","50,82%","82,37%","15,20%","6,24%"
2026-05-16,shopee.com.br,< 10%,"4,40%","51,52%","83,46%","16,32%","5,14%"
2026-05-17,shopee.com.br,< 10%,"4,85%","53,19%","84,12%","17,47%","5,08%"
2026-05-27,shopee.com.br,"21,23%","10,80%","57,38%","91,68%","34,54%","5,82%"
2026-05-28,shopee.com.br,"14,36%","9,54%","60,29%","90,19%","27,18%","7,01%"
2026-05-29,shopee.com.br,"13,37%","9,68%","60,00%","91,96%","31,66%","9,81%"
2026-05-30,shopee.com.br,"19,44%","19,24%","63,00%","89,37%","36,06%","8,85%"
2026-06-07,shopee.com.br,< 10%,"2,50%","38,46%","87,65%","11,73%","19,30%"
2026-06-08,shopee.com.br,< 10%,"1,46%","33,33%","88,57%","14,29%","22,90%"
2026-07-01,shopee.com.br,"10,72%","6,90%","62,50%","57,65%","8,24%","14,00%"
2026-07-02,shopee.com.br,"17,47%","13,90%","64,52%","75,59%","16,90%","8,32%"
2026-07-03,shopee.com.br,"18,89%","17,97%","76,06%","73,67%","17,37%","7,12%"
2026-07-04,shopee.com.br,"21,63%","21,87%","73,87%","75,80%","17,64%","9,02%"
2026-07-05,shopee.com.br,"18,51%","19,07%","80,00%","72,63%","17,14%","11,20%"
2026-07-06,shopee.com.br,"15,39%","12,08%","71,93%","73,73%","19,82%","7,51%"
2026-03-24,sterilair.com.br,< 10%,"8,52%","37,04%","94,23%","37,82%","5,78%"
2026-06-09,sterilair.com.br,"10,88%","7,81%","50,00%","96,55%","72,41%","23,08%"
2026-01-20,tudotestado.com,< 10%,"11,20%","46,53%","83,76%","33,60%","5,76%"
2026-01-26,tudotestado.com,< 10%,"9,93%","42,00%","60,14%","20,64%","6,96%"
2026-01-27,tudotestado.com,< 10%,"8,80%","49,29%","80,86%","42,23%","8,27%"
2026-01-31,tudotestado.com,< 10%,"9,17%","47,00%","82,51%","26,18%","6,58%"
2026-03-24,tudotestado.com,< 10%,"7,26%","13,04%","59,01%","17,67%","5,91%"
2026-07-01,tudotestado.com,< 10%,"6,03%","28,57%","6,45%","1,61%","14,38%"
2026-07-02,tudotestado.com,< 10%,"9,42%","28,57%","11,83%","2,15%","8,90%"
2026-07-03,tudotestado.com,< 10%,"2,78%","18,18%","8,06%","2,02%","8,21%"
2026-07-04,tudotestado.com,< 10%,"6,70%","27,94%","14,12%","1,02%","10,55%"
2026-07-05,tudotestado.com,< 10%,"9,69%","26,60%","11,71%","2,43%","12,87%"
2026-07-06,tudotestado.com,< 10%,"4,03%","15,79%","11,87%","3,96%","8,18%"
2026-05-12,uol.com.br,< 10%,"3,98%","54,05%","88,77%","39,77%","6,08%"
2026-05-14,uol.com.br,< 10%,"4,84%","62,16%","88,90%","29,63%","9,97%"
2026-05-16,uol.com.br,< 10%,"2,40%","44,44%","94,03%","35,44%","5,20%"
2026-05-17,uol.com.br,< 10%,"2,27%","59,09%","92,80%","36,51%","5,15%"
2026-05-27,uol.com.br,< 10%,"3,72%","80,95%","91,59%","31,99%","6,02%"
2026-05-28,uol.com.br,< 10%,"2,81%","70,00%","92,03%","32,20%","7,29%"
2026-06-08,uol.com.br,< 10%,"0,49%","100,00%","86,67%","28,89%","22,90%"
2026-06-09,uol.com.br,< 10%,"1,56%","50,00%","71,88%","21,88%","23,83%"
2026-07-01,uol.com.br,"14,88%","13,79%","62,50%","77,97%","25,42%","13,37%"
2026-07-02,uol.com.br,"13,00%","8,52%","57,89%","70,66%","18,61%","8,69%"
2026-07-03,uol.com.br,< 10%,"1,52%","66,67%","68,28%","16,01%","8,17%"
2026-07-05,uol.com.br,< 10%,"4,23%","56,10%","73,73%","20,37%","12,90%"
2026-07-06,uol.com.br,< 10%,"3,60%","70,59%","68,54%","11,84%","8,02%"
