Palavra-chave de pesquisa
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
2026-05-01,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",10,228,"4,39%","0,81","8,05","24,65%","79,58%","42,00",0,"0,19","420,00%","35,33"
2026-01-27,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",9,237,"3,80%","0,92","8,29","30,94%","71,94%","39,00",0,"0,21","433,33%","34,98"
2026-01-25,aspirador para limpar,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",9,273,"3,30%","1,39","12,52","24,78%","75,22%","29,00",0,"0,43","322,22%","45,85"
2026-05-15,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,408,"2,21%","1,12","10,07","15,09%","62,26%","43,00",0,"0,23","477,78%","24,68"
2026-05-26,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,788,"1,14%","0,61","5,47","7,81%","78,13%","41,00",0,"0,13","455,56%","6,95"
2026-06-03,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,527,"1,71%","0,43","3,90","12,50%","79,17%","59,00",0,"0,07","655,56%","7,40"
2026-05-13,melhor aspirador de pó vertical,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,399,"2,26%","1,31","11,80","18,69%","62,63%","58,02",0,"0,20","644,68%","29,57"
2026-01-21,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,115,"7,83%","2,46","22,12","43,27%","87,50%","49,00",0,"0,45","544,44%","192,33"
2026-04-12,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,478,"1,88%","0,95","8,51","15,08%","78,21%","50,00",0,"0,17","555,56%","17,80"
2026-05-26,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,98,"9,18%","0,73","6,53","8,33%","66,67%","39,00",0,"0,17","433,33%","66,60"
2026-04-18,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",9,168,"5,36%","0,93","8,39","25,66%","86,73%","51,11",0,"0,16","567,89%","49,95"
2026-01-21,limpeza de estofados,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",8,131,"6,11%","2,48","19,82","56,47%","87,06%","22,00",0,"0,90","275,00%","151,30"
2026-06-08,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",8,316,"2,53%","0,83","6,63","31,11%","77,78%","37,00",0,"0,18","462,50%","20,99"
2026-06-08,aspirador hyla,Removido,removido,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,0,8,36,"22,22%","1,06","8,47","26,92%","84,62%","44,00",0,"0,19","550,00%","235,28"
2026-01-29,aspirador de pó vertical,Removido,removido,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,0,8,111,"7,21%","1,77","14,18","33,00%","64,00%","44,65",0,"0,32","558,12%","127,76"
2026-07-06,melhor aspirador de pó vertical,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",8,113,"7,08%","2,82","22,56","4,76%","42,86%","34,40",0,"0,66","430,04%","199,65"
2026-01-26,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",8,63,"12,70%","1,99","15,89","30,19%","83,02%","37,00",0,"0,43","462,50%","252,25"
2026-04-11,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",8,215,"3,72%","0,82","6,58","13,51%","81,08%","31,00",0,"0,21","387,50%","30,60"
2026-06-09,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",8,29,"27,59%","0,93","7,43","30,00%","90,00%","41,00",0,"0,18","512,50%","256,38"
2026-01-20,colchão comprar,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",7,30,"23,33%","0,91","6,37",0,0,"30,00",0,"0,21","428,57%","212,32"
2026-01-29,aspirador para limpar,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",7,167,"4,19%","1,51","10,55","25,56%","77,44%","30,00",0,"0,35","428,57%","63,16"
2026-02-03,hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,14,"50,00%","1,62","11,34","35,71%","92,86%","108,25",0,"0,10","1546,42%","809,83"
2026-01-29,limpeza de estofados,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,103,"6,80%","1,27","8,92","36,59%","74,39%","24,00",0,"0,37","342,86%","86,60"
2026-01-27,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,221,"3,17%","2,06","14,43","38,33%","77,78%","19,00",0,"0,76","271,43%","65,29"
2026-05-17,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,889,"0,79%","0,70","4,90","15,45%","66,67%","30,00",0,"0,16","428,57%","5,51"
2026-06-02,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,736,"0,95%","0,68","4,79","7,02%","61,40%","46,00",0,"0,10","657,14%","6,51"
2026-05-03,aspirador hyla,Removido,removido,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,0,7,25,"28,00%","0,82","5,76","21,43%","78,57%","78,00",0,"0,07","1114,29%","230,39"
2026-05-04,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,155,"4,52%","0,36","2,54","0,00%","80,00%","21,00",0,"0,12","300,00%","16,41"
2026-05-30,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,184,"3,80%","0,99","6,90","23,33%","73,33%","29,00",0,"0,24","414,29%","37,49"
2026-01-30,aspirador de pó robo,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,125,"5,60%","1,98","13,85","23,48%","66,96%","36,00",0,"0,38","514,29%","110,80"
2026-05-12,melhor aspirador de pó vertical,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,251,"2,79%","0,81","5,65","18,99%","64,56%","40,00",0,"0,14","571,43%","22,51"
2026-05-01,limpar colchão,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,203,"3,45%","0,58","4,03","21,74%","80,43%","20,00",0,"0,20","285,71%","19,86"
2026-01-27,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,17,"41,18%","1,57","10,96","37,50%","81,25%","35,67",0,"0,31","509,52%","644,60"
2026-05-14,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",7,93,"7,53%","1,64","11,46","24,24%","74,24%","49,00",0,"0,23","700,00%","123,27"
2026-01-21,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",6,15,"40,00%","1,07","6,40","46,67%","100,00%","29,00",0,"0,22","483,33%","426,67"
2026-01-26,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",6,22,"27,27%","0,88","5,30","40,91%","86,36%","38,03",0,"0,14","633,83%","240,97"
2026-01-28,equipamentos de limpeza,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",6,64,"9,38%","1,89","11,35","34,21%","86,84%","44,00",0,"0,26","733,33%","177,40"
2026-01-25,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",6,234,"2,56%","1,38","8,25","29,22%","73,38%","20,00",0,"0,41","333,33%","35,27"
2026-01-26,hyla aspirador,Não qualificado,campanha pausada,Correspondência de frase,Branding - BR,Branding Brasil,BRL,"5,50",6,13,"46,15%","0,87","5,24","0,00%","91,67%","37,08",0,"0,14","617,98%","403,08"
2026-01-28,aspirador para limpar,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",6,168,"3,57%","1,92","11,50","26,62%","71,22%","23,00",0,"0,50","383,33%","68,45"
2026-05-26,hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,12,"50,00%","1,01","6,07","33,33%","88,89%","69,00",0,"0,09","1150,00%","505,83"
2026-07-02,hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,13,"46,15%","2,38","14,27","54,55%","90,91%","31,17",0,"0,46","519,44%","1097,69"
2026-01-20,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,146,"4,11%","4,54","27,25","54,96%","79,39%","30,00",0,"0,91","500,00%","186,64"
2026-01-26,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,205,"2,93%","2,33","13,98","28,65%","76,22%","27,00",0,"0,52","450,00%","68,20"
2026-04-12,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,397,"1,51%","0,86","5,13","17,19%","70,31%","40,00",0,"0,13","666,67%","12,93"
2026-04-16,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,249,"2,41%","0,96","5,73","21,84%","74,71%","19,00",0,"0,30","316,67%","23,01"
2026-04-30,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,101,"5,94%","0,67","4,00","10,71%","85,71%","28,00",0,"0,14","466,67%","39,60"
2026-05-24,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,618,"0,97%","0,34","2,03","0,00%","75,00%","21,00",0,"0,10","350,00%","3,29"
2026-05-01,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,217,"2,76%","0,64","3,87","27,06%","76,47%","16,00",0,"0,24","266,67%","17,83"
2026-05-13,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,146,"4,11%","0,99","5,96","32,73%","76,36%","20,00",0,"0,30","333,33%","40,82"
2026-05-02,limpar colchão,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,159,"3,77%","0,41","2,48","13,04%","69,57%","13,00",0,"0,19","216,67%","15,59"
2026-04-13,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,228,"2,63%","1,24","7,46","21,56%","76,05%","29,00",0,"0,26","483,33%","32,74"
2026-02-04,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,15,"40,00%","1,58","9,47","15,38%","92,31%","51,00",0,"0,19","850,00%","631,33"
2026-05-17,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",6,72,"8,33%","1,08","6,46","25,00%","77,50%","57,00",0,"0,11","950,00%","89,76"
2026-01-27,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",5,18,"27,78%","0,93","4,63","23,08%","100,00%","43,84",0,"0,11","876,79%","256,98"
2026-01-20,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",5,286,"1,75%","2,15","10,75","27,48%","70,99%","16,00",0,"0,67","320,00%","37,59"
2026-01-28,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",5,198,"2,53%","1,62","8,10","37,69%","77,69%","18,00",0,"0,45","360,00%","40,92"
2026-01-27,hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,8,"62,50%","1,60","8,00","50,00%","75,00%","34,50",0,"0,23","690,05%","1000,12"
2026-06-07,hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,38,"13,16%","0,90","4,48","33,33%","80,95%","40,69",0,"0,11","813,73%","117,94"
2026-04-11,produtos limpeza,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,180,"2,78%","0,68","3,39","36,36%","81,82%","9,00",0,"0,38","180,00%","18,84"
2026-07-05,produtos limpeza,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,251,"1,99%","0,57","2,86","0,00%","0,00%","13,00",0,"0,22","260,00%","11,39"
2026-01-26,limpeza de estofados,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,158,"3,16%","1,42","7,08","42,20%","75,23%","19,00",0,"0,37","380,00%","44,80"
2026-01-31,limpeza de estofados,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,145,"3,45%","1,22","6,10","36,84%","78,07%","19,00",0,"0,32","380,00%","42,07"
2026-01-21,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,141,"3,55%","2,68","13,39","44,96%","77,52%","22,00",0,"0,61","440,00%","94,95"
2026-04-13,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,320,"1,56%","1,63","8,17","17,78%","84,44%","28,00",0,"0,29","560,00%","25,52"
2026-04-14,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,265,"1,89%","1,52","7,58","26,03%","65,75%","51,00",0,"0,15","1020,00%","28,62"
2026-04-15,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,222,"2,25%","1,18","5,92","28,92%","83,13%","32,00",0,"0,18","640,00%","26,66"
2026-05-11,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,402,"1,24%","0,39","1,93","6,45%","64,52%","26,00",0,"0,07","520,00%","4,80"
2026-05-20,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,463,"1,08%","0,35","1,76","11,11%","83,33%","14,00",0,"0,13","280,00%","3,79"
2026-07-06,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,639,"0,78%","1,14","5,72","3,28%","40,44%","22,50",0,"0,25","450,00%","8,95"
2026-03-04,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,24,"20,83%","4,88","24,40","50,00%","92,86%","19,00",0,"1,28","380,00%","1016,51"
2026-05-02,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,251,"1,99%","0,63","3,14","21,13%","76,06%","19,00",0,"0,17","380,00%","12,49"
2026-05-16,aspirador de pó para sofá,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,129,"3,88%","0,69","3,43","16,44%","78,08%","13,00",0,"0,26","260,00%","26,56"
2026-03-15,melhor aspirador de pó vertical,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,8,"62,50%","6,94","34,68","71,43%","85,71%","38,00",0,"0,91","760,00%","4334,42"
2026-05-14,melhor aspirador de pó vertical,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,146,"3,42%","1,35","6,76","31,82%","65,15%","20,00",0,"0,34","400,00%","46,28"
2026-07-05,melhor aspirador de pó vertical,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,183,"2,73%","1,71","8,54","10,13%","49,37%","18,00",0,"0,47","360,00%","46,67"
2026-04-13,limpar colchão,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,86,"5,81%","1,09","5,47","26,32%","63,16%","18,00",0,"0,30","360,00%","63,60"
2026-03-23,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,107,"4,67%","6,40","32,00","54,22%","79,52%","22,00",0,"1,45","440,00%","299,06"
2026-04-14,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,91,"5,49%","1,50","7,48","34,00%","90,00%","45,00",0,"0,17","900,00%","82,17"
2026-04-20,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,143,"3,50%","1,24","6,20","8,64%","69,14%","52,25",0,"0,12","1044,90%","43,32"
2026-04-24,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,23,"21,74%","0,50","2,50","0,00%","64,29%","31,00",0,"0,08","620,05%","108,70"
2026-04-28,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,61,"8,20%","0,57","2,84","11,11%","88,89%","35,00",0,"0,08","700,00%","46,49"
2026-05-04,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,47,"10,64%","0,68","3,41","11,11%","83,33%","45,91",0,"0,07","918,21%","72,48"
2026-05-05,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,65,"7,69%","0,39","1,95","16,67%","61,11%","49,47",0,"0,04","989,42%","30,06"
2026-05-11,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,57,"8,77%","0,66","3,30","7,14%","75,00%","45,79",0,"0,07","915,73%","57,87"
2026-05-19,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,16,"31,25%","0,72","3,60","0,00%","84,62%","38,00",0,"0,09","760,00%","225,00"
2026-05-20,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,12,"41,67%","0,67","3,36","0,00%","62,50%","48,63",0,"0,07","972,53%","280,06"
2026-05-23,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,6,"83,33%","0,55","2,73","0,00%","100,00%","41,00",0,"0,07","820,00%","454,78"
2026-05-12,hyla do brasil,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",5,17,"29,41%","0,73","3,65","62,50%","100,00%","51,00",0,"0,07","1020,00%","214,58"
2026-01-29,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",4,189,"2,12%","1,29","5,17","30,69%","76,24%","40,00",0,"0,13","1000,00%","27,35"
