Relatório de insights sobre termos de pesquisa
1 de janeiro de 2026 - 7 de julho de 2026
Categoria de pesquisa,Subcategoria de pesquisa,Termos de pesquisa,Impressões,Cliques,Conversões,Valor conv.,CTR,Taxa de conv.,Volume de pesquisa
hyla plus,Termos de pesquisa sem classificação,hyla gst air and room cleaning system,3,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla gst swarovski edition,5,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla gst vacuum price,1,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla logo,2,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla luxury,7,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla pdrn,3,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla perfume,5,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,vacuum cleaner hyla,8,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,www hyla com,8,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Subcategoria: total, --,94,1,"0,00","0,00","1,06%","0,00%",1.000 - 10.000
desumidificador purificador de ar,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,desumidificador purificador de ar,3,1,"0,00","0,00","33,33%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,desumidificador e purificador,5,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,desumidificador e purificador de ar,34,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,desumidificador e purificador de ar h12,3,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,desumidificador e purificador de ar q9,4,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,purificador de ar e desumidificador,4,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,purificador e desumidificador,5,0,"0,00","0,00","0,00%","0,00%", --
desumidificador purificador de ar,Termos de pesquisa sem classificação,purificador e desumidificador de ar,10,0,"0,00","0,00","0,00%","0,00%", --
limpeza de banco de carro,Subcategoria: total, --,1,0,"0,00","0,00","0,00%","0,00%",100.000 - 1.000.000
comprar aspirador hyla,Subcategoria: total, --,160,9,"1,00","1,00","5,63%","11,11%",100 - 1.000
comprar aspirador hyla,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,comprar aspirador hyla,9,1,"0,00","0,00","11,11%","0,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,aspirador hyla onde comprar,31,2,"1,00","1,00","6,45%","50,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,hyla comprar,45,2,"0,00","0,00","4,44%","0,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,hyla aspirador comprar,10,2,"0,00","0,00","20,00%","0,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,comprar hyla,42,1,"0,00","0,00","2,38%","0,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,aspirador hyla comprar,3,0,"0,00","0,00","0,00%","0,00%", --
comprar aspirador hyla,Termos de pesquisa sem classificação,hyla curitiba,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Subcategoria: total, --,5.211,43,"2,00","2,00","0,83%","4,65%",100.000 - 1.000.000
escova para cachorro,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cachorro,131,2,"0,00","0,00","1,53%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cachorros,13,2,"0,00","0,00","15,38%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de pelo de cachorro,13,1,"0,00","0,00","7,69%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova banho cachorro,17,1,"0,00","0,00","5,88%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para caes,15,1,"0,00","0,00","6,67%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tosquiadeira,6,1,"0,00","0,00","16,67%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet com vapor,14,1,"0,00","0,00","7,14%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova 3 em 1 para pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova 3 em 1 para pets,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova 3 em 1 pet,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor cachorro,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para cachorro,124,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para cachorro funciona,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para cães,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para pet,43,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para pet como usar,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova a vapor para pets,22,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova autolimpante pet,12,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova banho pet,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova cachorro,76,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova cachorro vapor,24,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova chalesco special pets,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova cleanpet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova com vapor para cachorro,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova com vapor para caes,15,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova com vapor para pet,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de banho de cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de banho para cachorro,19,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de banho para pet,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de banho para pets,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de banho pet,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de cabelo para cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de cachorro,26,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de cachorro automatica,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de cachorro com aspirador,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de cachorro com vapor,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de cachorro para tirar pelo,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de dar banho em cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de escovar cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de lavar cachorro,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de pelo cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de pelo para cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de pelos cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de pelos para cachorro,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de pentear cachorro,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de tirar pelo de cachorro,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de tosa,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de tosar cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova de vapor para cachorro,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova desembaraçadora cachorro,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova dog,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova eletrica cachorro,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova eletrica para caes,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova eletrica para pets,12,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova elétrica para cães,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova elétrica para pet,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova elétrica para pets,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova ferplast,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova imperial pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova massageadora para cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova massageadora para pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova massageadora pet,9,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banhar cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho cachorro,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho de cachorro,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho de pet,11,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho e tosa,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho em cachorro,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho em pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para banho pet,20,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cachorro a vapor,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cachorro com aspirador,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cachorro com vapor,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para chihuahua,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cortar pelo de cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para cães com aspirador,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para dar banho em cachorro,30,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para dar banho em pet,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para desembaraçar pelo de cachorro,9,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para desembolar pelo de cachorro,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para escovar cachorro,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para escovar pelo de cachorro,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para lavar cachorro,21,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para lavar pet,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pelo de cachorro,14,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pelos de cachorro,26,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pentear cachorro,26,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pentear pelo de cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pet a vapor,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pet com vapor,20,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pet pelo longo,10,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para pets removedora de pelos,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para remover pelos de cachorro,15,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para subpelo cachorro,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para tirar pelo de cachorro,27,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para tirar pelo de cachorro pelo curto,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para tirar pelo morto de cachorro,9,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para tirar pelos de cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para tirar pelos mortos de cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova para tirar subpelo de cachorro,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pelo cachorro,48,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pelo cao,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pelo de cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pelo morto cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pelos cachorro,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pentear cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet 3 em 1,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet autolimpante,12,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet banho,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet clean,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet pelo,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pet society,8,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova porta shampoo pet,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova pra pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova que cortar pelo de cachorro,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova que tira pelo de cachorro,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova rake cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova rake para cães,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova rasqueadeira para cachorro,11,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova rasqueadeira para cães,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova rastelo para cães,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova remove pelos pet autolimpante spray dimy,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova removedora de pelos cachorro,16,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova removedora de pelos para pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova removedora de pelos para pets,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova subpelo cachorro,6,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tira pelo cachorro,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tira pelo de cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tira pelos cachorro,13,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tira pelos caes,5,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tirar pelo cachorro,12,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tosadora,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tosadora para cachorro,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova tosquiadeira de cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova umidificadora para cachorro,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vapor cachorro,27,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vapor para caes,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vapor para pet,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vapor tira pelo pet recarregável,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vaporizadora para cachorro,12,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vaporizadora para cães,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vaporizadora para pets,45,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vaporizadora pet,3,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vet,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escova vileda animais,7,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escovas para cachorro,2,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escovas para cachorros,4,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escovinha para cachorro,1,0,"0,00","0,00","0,00%","0,00%", --
escova para cachorro,Termos de pesquisa sem classificação,escovinha pet,1,0,"0,00","0,00","0,00%","0,00%", --
