Termos de pesquisa
1 de maio de 2026 - 28 de julho de 2026
Dia,Termo de pesquisa,Tipo de correspondência dos termos de pesquisa,Adicionada/excluída,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-06-22,clinic web,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"3,67","3,67","50,00%","50,00%","0,00",0,0,"0,00%"
2026-06-22,clinica experts,Correspondência ampla,Excluído,1,6,"16,67%",BRL,"3,11","3,11","33,33%","33,33%","0,00",0,0,"0,00%"
2026-06-22,clinica total,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"4,25","4,25","50,00%","50,00%","0,00",0,0,"0,00%"
2026-06-22,iclinic agenda,Correspondência ampla,Excluído,1,5,"20,00%",BRL,"3,78","3,78","60,00%","80,00%","0,00",0,0,"0,00%"
2026-06-22,modelos de ficha de anamnese,Correspondência ampla,Nenhum,1,1,"100,00%",BRL,"6,85","6,85","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-23,clinic connect,Correspondência ampla,Nenhum,1,1,"100,00%",BRL,"2,10","2,10","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-23,clinica total,Correspondência ampla,Excluído,1,4,"25,00%",BRL,"4,04","4,04","50,00%","50,00%","0,00",0,0,"0,00%"
2026-06-23,clinicaexperts,Correspondência ampla,Excluído,1,12,"8,33%",BRL,"3,95","3,95","16,67%","41,67%","0,00",0,0,"0,00%"
2026-06-23,collectaba,Correspondência ampla,Excluído,1,6,"16,67%",BRL,"4,05","4,05","33,33%","33,33%","0,00",0,0,"0,00%"
2026-06-23,feegow clinic,Correspondência ampla,Excluído,1,19,"5,26%",BRL,"6,48","6,48","21,05%","68,42%","0,00",0,0,"0,00%"
2026-06-23,iclin,Correspondência ampla,Excluído,1,52,"1,92%",BRL,"7,44","7,44","42,31%","44,23%","0,00",0,0,"0,00%"
2026-06-23,shosp,Correspondência ampla,Excluído,1,5,"20,00%",BRL,"5,77","5,77","60,00%","80,00%","0,00",0,0,"0,00%"
2026-06-23,gestão aba,Correspondência de frase (variação aproximada),Nenhum,1,2,"50,00%",BRL,"4,61","4,61","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-24,amigo bot,Correspondência ampla,Excluído,1,1,"100,00%",BRL,"2,39","2,39","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-24,app iclinic com br,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"4,36","4,36","50,00%","100,00%","0,00",0,0,"0,00%"
2026-06-24,clinica dashboard,Correspondência ampla,Nenhum,1,1,"100,00%",BRL,"2,84","2,84","0,00%","100,00%","0,00",0,0,"0,00%"
2026-06-24,clinica total,Correspondência ampla,Excluído,1,5,"20,00%",BRL,"3,09","3,09","80,00%","80,00%","0,00",0,0,"0,00%"
2026-06-24,clinicaexperts,Correspondência ampla,Excluído,1,6,"16,67%",BRL,"2,86","2,86","16,67%","83,33%","0,00",0,0,"0,00%"
2026-06-24,iclin,Correspondência ampla,Excluído,1,49,"2,04%",BRL,"2,98","2,98","44,90%","44,90%","0,00",0,0,"0,00%"
2026-06-24,nexalya,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"3,17","3,17","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-24,planilha de controle de pacientes excel grátis,Correspondência ampla,Nenhum,1,2,"50,00%",BRL,"3,70","3,70","50,00%","100,00%","0,00",0,0,"0,00%"
2026-06-24,stenci,Correspondência ampla,Excluído,1,3,"33,33%",BRL,"3,61","3,61","66,67%","66,67%","0,00",0,0,"0,00%"
2026-06-24,systea,Correspondência ampla,Excluído,1,7,"14,29%",BRL,"2,74","2,74","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-25,amigoapp com br agenda,Correspondência ampla,Excluído,1,1,"100,00%",BRL,"3,38","3,38","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-25,clinic web,Correspondência ampla,Excluído,1,11,"9,09%",BRL,"2,89","2,89","54,55%","81,82%","0,00",0,0,"0,00%"
2026-06-25,clinica experts,Correspondência ampla,Excluído,1,27,"3,70%",BRL,"2,36","2,36","18,52%","70,37%","0,00",0,0,"0,00%"
2026-06-25,clinica express,Correspondência ampla,Excluído,1,1,"100,00%",BRL,"2,92","2,92","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-25,collect aba,Correspondência ampla,Excluído,1,49,"2,04%",BRL,"3,06","3,06","36,73%","38,78%","0,00",0,0,"0,00%"
2026-06-25,consultorio gratis,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"3,18","3,18","50,00%","100,00%","0,00",0,0,"0,00%"
2026-06-25,consultorio prontmed,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"2,57","2,57","0,00%","50,00%","0,00",0,0,"0,00%"
2026-06-25,doctoralia planner,Correspondência ampla,Excluído,1,4,"25,00%",BRL,"3,22","3,22","25,00%","100,00%","0,00",0,0,"0,00%"
2026-06-25,quarkclinic,Correspondência ampla,Excluído,1,25,"4,00%",BRL,"3,02","3,02","28,00%","64,00%","0,00",0,0,"0,00%"
2026-06-25,stenci app,Correspondência ampla,Excluído,1,6,"16,67%",BRL,"3,73","3,73","66,67%","83,33%","0,00",0,0,"0,00%"
2026-06-26,99clinic,Correspondência ampla,Excluído,1,1,"100,00%",BRL,"2,43","2,43","0,00%","100,00%","0,00",0,0,"0,00%"
2026-06-26,clinica experts,Correspondência ampla,Excluído,1,25,"4,00%",BRL,"3,05","3,05","36,00%","72,00%","0,00",0,0,"0,00%"
2026-06-26,digitalclin,Correspondência ampla,Excluído,1,6,"16,67%",BRL,"2,94","2,94","33,33%","50,00%","0,00",0,0,"0,00%"
2026-06-26,feegow agenda,Correspondência ampla,Excluído,1,6,"16,67%",BRL,"1,94","1,94","83,33%","83,33%","0,00",0,0,"0,00%"
2026-06-26,feegow clinic,Correspondência ampla,Excluído,1,26,"3,85%",BRL,"2,42","2,42","46,15%","69,23%","0,00",0,0,"0,00%"
2026-06-26,iclinic,Correspondência ampla,Excluído,1,11,"9,09%",BRL,"2,08","2,08","18,18%","72,73%","0,00",0,0,"0,00%"
2026-06-26,medicit,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"2,79","2,79","50,00%","100,00%","0,00",0,0,"0,00%"
2026-06-26,prontmed,Correspondência ampla,Excluído,1,7,"14,29%",BRL,"2,97","2,97","42,86%","100,00%","0,00",0,0,"0,00%"
2026-06-26,scall,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"2,93","2,93","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-26,sistema amigo clinic,Correspondência ampla,Excluído,1,1,"100,00%",BRL,"2,56","2,56","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-26,stenci app,Correspondência ampla,Excluído,1,2,"50,00%",BRL,"2,33","2,33","50,00%","100,00%","0,00",0,0,"0,00%"
2026-06-27,agenda agil app,Correspondência ampla,Excluído,1,1,"100,00%",BRL,"4,37","4,37","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-27,cliniconet,Correspondência ampla,Nenhum,1,1,"100,00%",BRL,"4,56","4,56","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-27,clínica experts,Correspondência ampla,Excluído,1,7,"14,29%",BRL,"3,15","3,15","28,57%","42,86%","0,00",0,0,"0,00%"
2026-06-27,collect aba,Correspondência ampla,Excluído,1,8,"12,50%",BRL,"3,37","3,37","50,00%","50,00%","0,00",0,0,"0,00%"
2026-06-27,iclinic sistema para clínicas e consultórios,Correspondência ampla,Excluído,1,5,"20,00%",BRL,"4,51","4,51","20,00%","100,00%","0,00",0,0,"0,00%"
2026-06-27,planilha de controle de pacientes excel grátis,Correspondência ampla,Nenhum,1,2,"50,00%",BRL,"4,53","4,53","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-27,systea npc,Correspondência ampla,Excluído,1,3,"33,33%",BRL,"2,73","2,73","33,33%","66,67%","0,00",0,0,"0,00%"
2026-06-28,software para terapeutas aba,Correspondência de frase,Nenhum,1,2,"50,00%",BRL,"3,74","3,74","0,00%","0,00%","0,00",0,0,"0,00%"
2026-06-28,clinica experts,Correspondência ampla,Excluído,1,12,"8,33%",BRL,"3,72","3,72","20,00%","40,00%","0,00",0,0,"0,00%"
2026-06-28,collect aba,Correspondência ampla,Excluído,1,3,"33,33%",BRL,"3,61","3,61","33,33%","33,33%","0,00",0,0,"0,00%"
2026-06-28,iclin,Correspondência ampla,Excluído,1,14,"7,14%",BRL,"3,65","3,65","35,71%","57,14%","0,00",0,0,"0,00%"
2026-06-28,psicodoc,Correspondência de frase (variação aproximada),Excluído,1,1,"100,00%",BRL,"3,73","3,73","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-19,bhave 2,Correspondência de frase (variação aproximada),Excluído,0,4,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,agendart,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-20,app clinica,Correspondência ampla,Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,app seufisio,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,beni software,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,clinicaweb,Correspondência ampla,Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-20,clinicorp,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,clinicweb,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,ds gestao,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","50,00%","50,00%","0,00",0,0,0
2026-06-20,ds gestão,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-20,feegow clinic,Correspondência ampla,Excluído,0,33,"0,00%",BRL,0,"0,00","66,67%","76,19%","0,00",0,0,0
2026-06-20,gestao ds,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,gestaoda,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,gestaods,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,hidoctor cloud,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,planilha de controle de pacientes psicologia grátis,Correspondência ampla,Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,plataforma psicomanager,Correspondência ampla,Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,prontuário eletrônico gratuito,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,santesistemas,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,shosp,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,sistema de gestão para psicologos,Correspondência ampla,Nenhum,0,8,"0,00%",BRL,0,"0,00","75,00%","100,00%","0,00",0,0,0
2026-06-20,sistema para clinicas multidisciplinares,Correspondência ampla,Nenhum,0,3,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,sistema para marcação de consultas,Correspondência ampla,Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,terapee,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-20,vclinic,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,plataforma para terapeutas,Correspondência exata (variante aproximada),Nenhum,0,5,"0,00%",BRL,0,"0,00","66,67%","100,00%","0,00",0,0,0
2026-06-20,plataformas para terapeutas,Correspondência exata (variante aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,gestao aba,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,programa para consultorio de psicologia,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,psicodoc,Correspondência de frase (variação aproximada),Excluído,0,10,"0,00%",BRL,0,"0,00","71,43%","100,00%","0,00",0,0,0
2026-06-20,psicomanager planos,Correspondência de frase (variação aproximada),Excluído,0,3,"0,00%",BRL,0,"0,00","50,00%","100,00%","0,00",0,0,0
2026-06-20,psicomanager valor,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-20,sistema de gestão para psicologos,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,sistema para psicologia,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,sistema para psicólogos e consultórios de psicologia,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,software clinica psicologia,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,software para psicologia,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,software para psicólogos,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-20,www psicomanager com br,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,aba sistema,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,agendart,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","33,33%","66,67%","0,00",0,0,0
2026-06-21,amigo sistema,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,app gestaods,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,clinica flow app,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,clinicweb,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","33,33%","66,67%","0,00",0,0,0
2026-06-21,cliniqore,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,collect aba,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","50,00%","50,00%","0,00",0,0,0
2026-06-21,communicare,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-21,consultorio me,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","0,00%","66,67%","0,00",0,0,0
2026-06-21,corpora,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","33,33%","100,00%","0,00",0,0,0
2026-06-21,digitalclin,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,docspsi,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,ds gestao,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,eaglemed,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,feegow clinic,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","25,00%","25,00%","0,00",0,0,0
2026-06-21,ficha de anamnese online grátis,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,gestao ds,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,npc systea,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,prontuário online psicologia gratuito,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,qual o melhor sistema de agendamento online,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,quarkclinic,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-21,sistema aba,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,sistema amigo,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,sistema clinico,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,sistema de agendamento,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,terapee,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-21,tuotempo,Correspondência ampla,Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,www feegow,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,yesmed,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,docspsi,Correspondência de frase (variação aproximada),Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,planos psicomanager,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-21,psicodoc,Correspondência de frase (variação aproximada),Excluído,0,6,"0,00%",BRL,0,"0,00","20,00%","80,00%","0,00",0,0,0
2026-06-21,psicomanager app,Correspondência de frase (variação aproximada),Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-21,psicomananger,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,4medic agenda,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,agenda boa consulta,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,agenda medica,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,agenda nas nuvens,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,agenda serviço,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,agendart,Correspondência ampla,Excluído,0,8,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-22,amplimed agenda,Correspondência ampla,Excluído,0,5,"0,00%",BRL,0,"0,00","60,00%","100,00%","0,00",0,0,0
2026-06-22,atenda mais,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,atos sistema,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,aurysplus,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,beni software,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,clinica expert,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-22,clinica expert entrar,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,clinica express,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,clinicaexperts,Correspondência ampla,Excluído,0,5,"0,00%",BRL,0,"0,00","20,00%","60,00%","0,00",0,0,0
2026-06-22,clinicando,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,clinicawork servicos digitais ltda,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-22,clinicweb,Correspondência ampla,Excluído,0,6,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-22,cloudia tecnologia,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,collectaba,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,como preencher ficha de anamnese,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,consultorio,Correspondência ampla,Nenhum,0,3,"0,00%",BRL,0,"0,00",0,0,"0,00",0,0,0
2026-06-22,consultorio gratis,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,consultorio me,Correspondência ampla,Excluído,0,5,"0,00%",BRL,0,"0,00","40,00%","80,00%","0,00",0,0,0
2026-06-22,consultório grátis,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,consultório me,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,corpora,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,ds gestão,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,e clinica,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00%","0,00",0,0,0
2026-06-22,eclinica,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,feegow agenda,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","50,00%","0,00",0,0,0
2026-06-22,feegow agenda online,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,feegow clinic,Correspondência ampla,Excluído,0,6,"0,00%",BRL,0,"0,00","33,33%","50,00%","0,00",0,0,0
2026-06-22,gerclin,Correspondência ampla,Excluído,0,3,"0,00%",BRL,0,"0,00","0,00%","33,33%","0,00",0,0,0
2026-06-22,gerclin app,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,gestao aba,Correspondência ampla,Nenhum,0,3,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,gestao ds,Correspondência ampla,Excluído,0,2,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,gestaoda,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,gestão ds,Correspondência ampla,Excluído,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
2026-06-22,hidoctor,Correspondência ampla,Excluído,0,4,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,i clin,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","100,00%","0,00",0,0,0
2026-06-22,iclin,Correspondência ampla,Excluído,0,46,"0,00%",BRL,0,"0,00","32,61%","60,87%","0,00",0,0,0
2026-06-22,iclinic com br,Correspondência ampla,Nenhum,0,1,"0,00%",BRL,0,"0,00","100,00%","100,00%","0,00",0,0,0
