Palavra-chave de pesquisa
3 de março de 2026 - 28 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-04-13,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",58,1.407,"4,12%","0,85","49,27","18,35%","78,03%","0,00",0,0,"0,00%"
2026-03-11,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",56,1.249,"4,48%","2,01","112,71","25,44%","83,10%","0,00",0,0,"0,00%"
2026-06-26,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",50,1.026,"4,87%","1,51","75,49","20,93%","67,81%","0,00",0,0,"0,00%"
2026-07-24,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",50,222,"22,52%","0,54","26,85","23,19%","85,51%","0,00",0,0,"0,00%"
2026-07-21,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",49,948,"5,17%","1,27","62,44","16,97%","61,70%","0,00",0,0,"0,00%"
2026-07-22,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",49,950,"5,16%","1,23","60,14","13,97%","63,70%","0,00",0,0,"0,00%"
2026-07-27,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",49,903,"5,43%","0,60","29,58","7,59%","60,27%","0,00",0,0,"0,00%"
2026-04-13,corte a laser acrilico,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",49,448,"10,94%","1,83","89,60","41,64%","89,67%","0,00",0,0,"0,00%"
2026-03-26,cnc 1310,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",48,346,"13,87%","0,72","34,44","47,22%","84,72%","0,00",0,0,"0,00%"
2026-07-27,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",48,468,"10,26%","0,36","17,36","6,67%","43,33%","0,00",0,0,"0,00%"
2026-07-23,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",46,143,"32,17%","0,40","18,22","7,14%","50,00%","0,00",0,0,"0,00%"
2026-04-18,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",44,1.050,"4,19%","0,96","42,11","17,29%","76,01%","0,00",0,0,"0,00%"
2026-04-14,cnc zumaq,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",43,278,"15,47%","0,54","23,10","51,43%","97,14%","0,00",0,0,"0,00%"
2026-07-26,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",43,144,"29,86%","0,63","26,93","35,71%","71,43%","0,00",0,0,"0,00%"
2026-07-28,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",42,877,"4,79%","0,64","26,82","9,81%","67,17%","0,00",0,0,"0,00%"
2026-07-25,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",41,173,"23,70%","0,59","24,28","28,81%","89,83%","0,00",0,0,"0,00%"
2026-07-27,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",40,1.359,"2,94%","0,61","24,43","11,44%","59,20%","0,00",0,0,"0,00%"
2026-04-14,empresas corte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",40,339,"11,80%","0,56","22,49","36,00%","80,00%","0,00",0,0,"0,00%"
2026-04-13,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",39,322,"12,11%","0,43","16,74","20,00%","82,00%","0,00",0,0,"0,00%"
2026-07-27,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",39,111,"35,14%","0,56","21,75","14,29%","78,57%","0,00",0,0,"0,00%"
2026-07-26,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",38,712,"5,34%","0,61","23,19","7,25%","65,70%","0,00",0,0,"0,00%"
2026-07-24,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",38,419,"9,07%","0,46","17,42","0,00%","33,33%","0,00",0,0,"0,00%"
2026-04-14,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",37,1.020,"3,63%","1,58","58,39","26,02%","83,65%","0,00",0,0,"0,00%"
2026-05-22,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",36,508,"7,09%","2,00","71,93","38,32%","87,50%","0,00",0,0,"0,00%"
2026-03-26,empresas corte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",35,240,"14,58%","0,83","28,98","16,67%","83,33%","0,00",0,0,"0,00%"
2026-03-27,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",35,201,"17,41%","0,76","26,70","28,95%","81,58%","0,00",0,0,"0,00%"
2026-07-07,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",34,952,"3,57%","0,83","28,19","7,69%","43,75%","0,00",0,0,"0,00%"
2026-04-19,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",33,955,"3,46%","0,96","31,64","15,46%","81,19%","0,00",0,0,"0,00%"
2026-04-20,empresas corte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",33,187,"17,65%","0,62","20,52","36,59%","85,37%","0,00",0,0,"0,00%"
2026-05-23,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",33,178,"18,54%","0,72","23,60","27,27%","59,09%","0,00",0,0,"0,00%"
2026-07-12,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",32,1.251,"2,56%","0,20","6,43","0,00%","10,81%","0,00",0,0,"0,00%"
2026-07-08,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",32,1.313,"2,44%","0,61","19,37","6,39%","39,30%","0,00",0,0,"0,00%"
2026-07-09,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",31,1.603,"1,93%","0,54","16,67","5,24%","37,76%","0,00",0,0,"0,00%"
2026-04-18,empresas corte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",31,155,"20,00%","0,33","10,19","28,57%","85,71%","0,00",0,0,"0,00%"
2026-07-28,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",31,204,"15,20%","0,38","11,87","0,00%","37,50%","0,00",0,0,"0,00%"
2026-07-13,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",30,1.110,"2,70%","0,39","11,55","4,89%","38,59%","0,00",0,0,"0,00%"
2026-07-26,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",29,914,"3,17%","0,60","17,29","10,21%","55,74%","0,00",0,0,"0,00%"
2026-07-23,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",28,396,"7,07%","0,83","23,26","11,86%","69,87%","0,00",0,0,"0,00%"
2026-04-14,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",28,214,"13,08%","1,52","42,61","49,07%","90,74%","0,00",0,0,"0,00%"
2026-07-28,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",27,956,"2,82%","0,71","19,23","12,87%","59,41%","0,00",0,0,"0,00%"
2026-07-22,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",26,573,"4,54%","1,64","42,56","20,35%","61,05%","0,00",0,0,"0,00%"
2026-04-17,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",26,132,"19,70%","0,35","9,22","0,00%","50,00%","0,00",0,0,"0,00%"
2026-04-20,Chiller 5000,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",26,131,"19,85%","0,43","11,20",0,0,"0,00",0,0,"0,00%"
2026-07-24,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",24,673,"3,57%","0,23","5,53","4,55%","31,82%","0,00",0,0,"0,00%"
2026-07-11,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",24,221,"10,86%","0,35","8,48","0,00%","33,33%","0,00",0,0,"0,00%"
2026-04-21,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",22,502,"4,38%","1,29","28,30","23,68%","77,26%","0,00",0,0,"0,00%"
2026-07-25,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",22,74,"29,73%","0,34","7,58","0,00%","31,25%","0,00",0,0,"0,00%"
2026-04-17,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",21,652,"3,22%","1,12","23,42","19,00%","78,62%","0,00",0,0,"0,00%"
2026-07-24,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",21,360,"5,83%","0,76","16,04","5,73%","64,89%","0,00",0,0,"0,00%"
2026-07-28,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",21,77,"27,27%","0,50","10,54","28,57%","100,00%","0,00",0,0,"0,00%"
2026-07-28,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",21,617,"3,40%","0,71","14,98","8,15%","51,93%","0,00",0,0,"0,00%"
2026-06-23,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",20,851,"2,35%","0,80","15,96","10,51%","59,42%","0,00",0,0,"0,00%"
2026-07-14,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",20,695,"2,88%","0,73","14,59","1,65%","36,81%","0,00",0,0,"0,00%"
2026-07-22,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",20,599,"3,34%","0,22","4,35","0,00%","33,33%","0,00",0,0,"0,00%"
2026-04-21,empresas corte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",20,105,"19,05%","0,98","19,62","51,85%","88,89%","0,00",0,0,"0,00%"
2026-03-26,máquina de gravar a laser em metal,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",20,248,"8,06%","1,63","32,60","38,67%","83,33%","0,00",0,0,"0,00%"
2026-07-26,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",20,747,"2,68%","0,82","16,30","6,40%","45,73%","0,00",0,0,"0,00%"
2026-06-27,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",19,673,"2,82%","0,56","10,70","8,57%","50,00%","0,00",0,0,"0,00%"
2026-07-22,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",19,767,"2,48%","0,25","4,78","6,67%","43,33%","0,00",0,0,"0,00%"
2026-04-12,corte a laser em mdf,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",19,190,"10,00%","2,42","46,00","66,06%","90,91%","0,00",0,0,"0,00%"
2026-07-23,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",19,270,"7,04%","1,33","25,30","20,52%","69,87%","0,00",0,0,"0,00%"
2026-03-12,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",19,239,"7,95%","1,84","34,93","32,46%","81,68%","0,00",0,0,"0,00%"
2026-07-09,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",19,238,"7,98%","0,23","4,45","5,88%","47,06%","0,00",0,0,"0,00%"
2026-07-24,acessorios para maquina laser,Limitado,baixa qualidade,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",19,105,"18,10%","1,53","29,04","21,95%","64,63%","0,00",0,0,"0,00%"
2026-03-10,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",18,284,"6,34%","7,80","140,39","59,11%","87,45%","0,00",0,0,"0,00%"
2026-07-24,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",18,568,"3,17%","0,25","4,50","0,00%","71,43%","0,00",0,0,"0,00%"
2026-07-11,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",18,691,"2,60%","0,56","10,00","5,00%","43,75%","0,00",0,0,"0,00%"
2026-07-10,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",18,224,"8,04%","0,30","5,44","13,33%","26,67%","0,00",0,0,"0,00%"
2026-07-27,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",18,624,"2,88%","0,57","10,26","3,30%","43,96%","0,00",0,0,"0,00%"
2026-03-27,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",17,282,"6,03%","1,37","23,31","31,68%","81,19%","0,00",0,0,"0,00%"
2026-05-20,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",17,550,"3,09%","0,70","11,95","13,93%","73,13%","0,00",0,0,"0,00%"
2026-06-29,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",17,1.050,"1,62%","0,35","5,94","6,35%","39,68%","0,00",0,0,"0,00%"
2026-07-10,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",17,875,"1,94%","0,24","4,15","0,00%","19,05%","0,00",0,0,"0,00%"
2026-07-15,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",17,952,"1,79%","0,48","8,17","4,42%","42,54%","0,00",0,0,"0,00%"
2026-07-25,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",17,661,"2,57%","0,26","4,37","4,00%","60,00%","0,00",0,0,"0,00%"
2026-06-24,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",17,24,"70,83%","0,58","9,90","82,61%","100,00%","0,00",0,0,"0,00%"
2026-03-26,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",17,188,"9,04%","1,60","27,13","52,63%","84,96%","0,00",0,0,"0,00%"
2026-04-20,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",17,217,"7,83%","1,68","28,53","40,46%","89,60%","0,00",0,0,"0,00%"
2026-04-12,laser madeira corte e gravação a laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",17,141,"12,06%","2,37","40,33","73,08%","93,08%","0,00",0,0,"0,00%"
2026-04-20,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",16,610,"2,62%","0,95","15,18","12,60%","78,35%","0,00",0,0,"0,00%"
2026-07-01,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",16,948,"1,69%","0,52","8,31","4,05%","33,60%","0,00",0,0,"0,00%"
2026-07-11,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",16,548,"2,92%","0,22","3,44","0,00%","40,00%","0,00",0,0,"0,00%"
2026-07-07,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",16,371,"4,31%","0,66","10,61","9,68%","44,09%","0,00",0,0,"0,00%"
2026-07-25,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",16,672,"2,38%","0,23","3,69","0,00%","50,00%","0,00",0,0,"0,00%"
2026-07-22,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",16,198,"8,08%","1,48","23,72","21,60%","64,20%","0,00",0,0,"0,00%"
2026-03-26,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",15,123,"12,20%","1,49","22,32","45,26%","90,53%","0,00",0,0,"0,00%"
2026-03-13,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",15,301,"4,98%","1,41","21,11","26,32%","91,23%","0,00",0,0,"0,00%"
2026-07-24,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",15,79,"18,99%","0,36","5,47","0,00%","42,86%","0,00",0,0,"0,00%"
2026-07-09,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",15,621,"2,42%","0,60","9,06","1,95%","28,57%","0,00",0,0,"0,00%"
2026-07-23,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",15,572,"2,62%","0,26","3,84","11,11%","44,44%","0,00",0,0,"0,00%"
2026-07-23,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",15,816,"1,84%","0,25","3,77","2,50%","50,00%","0,00",0,0,"0,00%"
2026-04-14,tubo laser 100w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",15,133,"11,28%","1,53","22,94","63,27%","95,92%","0,00",0,0,"0,00%"
2026-03-26,corte a laser acrilico,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",15,214,"7,01%","1,92","28,75","40,72%","91,02%","0,00",0,0,"0,00%"
2026-03-13,central do laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",15,216,"6,94%","2,01","30,18","46,24%","81,18%","0,00",0,0,"0,00%"
2026-03-26,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",15,20,"75,00%","0,87","13,03","95,00%","100,00%","0,00",0,0,"0,00%"
2026-03-14,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",14,255,"5,49%","1,28","17,98","22,99%","78,74%","0,00",0,0,"0,00%"
2026-07-03,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",14,705,"1,99%","0,32","4,42","0,00%","22,50%","0,00",0,0,"0,00%"
2026-07-16,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",14,531,"2,64%","0,46","6,44","8,70%","45,65%","0,00",0,0,"0,00%"
2026-07-08,maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",14,645,"2,17%","0,81","11,41","3,23%","34,19%","0,00",0,0,"0,00%"
2026-07-12,maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",14,408,"3,43%","0,68","9,52","4,65%","33,72%","0,00",0,0,"0,00%"
2026-07-23,tubo laser 100w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",14,157,"8,92%","0,46","6,45","12,20%","51,22%","0,00",0,0,"0,00%"
2026-03-13,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",14,14,"100,00%","0,85","11,84","85,71%","100,00%","0,00",0,0,"0,00%"
2026-06-25,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",14,21,"66,67%","0,38","5,26","72,22%","100,00%","0,00",0,0,"0,00%"
2026-07-08,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",14,33,"42,42%","0,19","2,69","46,67%","86,67%","0,00",0,0,"0,00%"
2026-07-02,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",14,626,"2,24%","0,91","12,73","5,08%","31,25%","0,00",0,0,"0,00%"
2026-07-17,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",13,649,"2,00%","0,27","3,46","4,26%","34,04%","0,00",0,0,"0,00%"
2026-07-09,maquina de corte a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",13,278,"4,68%","0,77","9,97","3,88%","34,95%","0,00",0,0,"0,00%"
