Informações do leilão - pesquisa
3 de março de 2026 - 28 de julho de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-06-09,Você,"10,20%", --, --,"100,00%","100,00%", --
2026-06-11,Você,"100,00%", --, --,"100,00%","100,00%", --
2026-06-13,Você,"50,00%", --, --,"100,00%","100,00%", --
2026-06-19,Você,"20,00%", --, --,"100,00%","0,00%", --
2026-06-25,Você,< 10%, --, --,"66,10%","19,58%", --
2026-06-26,Você,< 10%, --, --,"69,58%","21,10%", --
2026-06-30,Você,< 10%, --, --,"27,74%","7,38%", --
2026-07-01,Você,< 10%, --, --,"37,74%","9,13%", --
2026-07-02,Você,< 10%, --, --,"44,01%","12,19%", --
2026-07-03,Você,< 10%, --, --,"44,02%","10,81%", --
2026-07-04,Você,"12,48%", --, --,"43,85%","16,15%", --
2026-07-06,Você,"33,33%", --, --,"100,00%","0,00%", --
2026-07-07,Você,< 10%, --, --,"49,12%","13,23%", --
2026-07-08,Você,"11,45%", --, --,"41,12%","9,51%", --
2026-07-09,Você,< 10%, --, --,"42,23%","11,74%", --
2026-07-10,Você,< 10%, --, --,"39,66%","11,54%", --
2026-07-11,Você,< 10%, --, --,"43,79%","8,88%", --
2026-07-12,Você,< 10%, --, --,"41,76%","9,09%", --
2026-07-14,Você,< 10%, --, --,"38,44%","6,91%", --
2026-07-21,Você,< 10%, --, --,"61,18%","16,39%", --
2026-07-22,Você,"13,64%", --, --,"54,58%","16,49%", --
2026-07-23,Você,< 10%, --, --,"53,28%","12,91%", --
2026-07-24,Você,< 10%, --, --,"63,07%","13,79%", --
2026-07-25,Você,< 10%, --, --,"53,51%","12,60%", --
2026-07-26,Você,"11,51%", --, --,"52,84%","10,71%", --
2026-07-27,Você,< 10%, --, --,"55,02%","8,11%", --
2026-07-28,Você,< 10%, --, --,"57,81%","9,96%", --
2026-05-16,aeonlaser.com.br,"14,29%","0,00%", --,"100,00%","100,00%","14,29%"
2026-03-10,agrotama.com.br,< 10%,"8,00%","5,56%","80,45%","1,88%","15,02%"
2026-03-11,agrotama.com.br,< 10%,"15,37%","45,86%","86,19%","23,02%","16,34%"
2026-03-12,agrotama.com.br,< 10%,"14,82%","38,96%","84,62%","22,44%","15,67%"
2026-03-13,agrotama.com.br,< 10%,"16,65%","40,86%","82,35%","22,51%","14,90%"
2026-03-14,agrotama.com.br,< 10%,"19,32%","41,75%","83,61%","25,41%","8,19%"
2026-03-25,agrotama.com.br,"10,14%","17,14%","35,59%","86,89%","20,69%","19,95%"
2026-03-26,agrotama.com.br,< 10%,"14,87%","44,35%","85,36%","23,70%","15,42%"
2026-03-27,agrotama.com.br,< 10%,"16,44%","44,71%","84,23%","21,62%","15,20%"
2026-04-12,agrotama.com.br,"12,56%","21,12%","40,07%","89,66%","23,80%","13,68%"
2026-04-13,agrotama.com.br,< 10%,"19,22%","45,75%","85,95%","25,05%","8,95%"
2026-04-14,agrotama.com.br,< 10%,"12,81%","38,38%","89,40%","20,08%","8,19%"
2026-04-18,agrotama.com.br,< 10%,"17,17%","56,21%","85,10%","28,37%","5,80%"
2026-04-19,agrotama.com.br,< 10%,"16,90%","60,31%","88,10%","30,82%","5,37%"
2026-04-20,agrotama.com.br,< 10%,"15,15%","44,16%","85,86%","23,66%","7,65%"
2026-04-21,agrotama.com.br,< 10%,"11,35%","36,70%","86,60%","22,92%","8,30%"
2026-05-21,agrotama.com.br,"11,06%","18,80%","54,55%","84,10%","25,88%","8,12%"
2026-05-22,agrotama.com.br,< 10%,"17,75%","39,66%","85,35%","22,60%","16,02%"
2026-05-23,agrotama.com.br,< 10%,"15,86%","38,89%","87,50%","24,04%","18,65%"
2026-05-24,agrotama.com.br,"21,28%","0,00%", --,"60,00%","20,00%","10,64%"
2026-05-25,agrotama.com.br,< 10%,"0,00%", --,"100,00%","0,00%","9,76%"
2026-05-27,agrotama.com.br,"11,11%","0,00%", --,"100,00%","0,00%","11,11%"
2026-06-09,agrotama.com.br,"14,29%","0,00%", --,"92,86%","28,57%","10,20%"
2026-06-25,agrotama.com.br,"11,08%","24,51%","56,77%","80,26%","24,00%","7,97%"
2026-06-26,agrotama.com.br,< 10%,"17,40%","53,55%","81,14%","23,55%","6,52%"
2026-06-30,agrotama.com.br,"15,17%","13,49%","60,38%","62,83%","16,31%","4,70%"
2026-07-01,agrotama.com.br,"14,62%","23,08%","62,67%","62,12%","16,54%","6,30%"
2026-07-02,agrotama.com.br,"14,51%","28,20%","71,06%","65,05%","18,01%","6,04%"
2026-07-03,agrotama.com.br,"14,85%","16,34%","61,42%","60,22%","19,45%","5,12%"
2026-07-04,agrotama.com.br,"18,91%","40,77%","39,62%","52,28%","12,69%","10,46%"
2026-07-07,agrotama.com.br,"11,60%","16,83%","61,27%","68,35%","17,43%","5,45%"
2026-07-08,agrotama.com.br,"14,05%","20,07%","63,41%","65,47%","18,29%","9,99%"
2026-07-09,agrotama.com.br,"13,73%","20,95%","69,76%","64,88%","19,81%","7,90%"
2026-07-10,agrotama.com.br,"13,82%","12,59%","56,67%","65,69%","22,23%","6,15%"
2026-07-11,agrotama.com.br,"18,41%","19,97%","78,52%","68,89%","22,01%","5,34%"
2026-07-12,agrotama.com.br,"20,93%","18,18%","69,53%","67,58%","20,50%","5,18%"
2026-07-14,agrotama.com.br,"18,44%","24,02%","75,63%","63,41%","20,63%","4,20%"
2026-07-21,agrotama.com.br,"16,64%","23,84%","49,67%","69,35%","22,38%","7,33%"
2026-07-22,agrotama.com.br,"11,38%","17,33%","46,86%","69,31%","23,07%","12,53%"
2026-07-23,agrotama.com.br,< 10%,"16,44%","59,21%","71,17%","22,56%","8,03%"
2026-07-24,agrotama.com.br,"10,39%","18,31%","67,42%","72,57%","22,09%","6,07%"
2026-07-25,agrotama.com.br,"11,11%","16,53%","61,15%","67,51%","19,16%","6,29%"
2026-07-26,agrotama.com.br,"10,87%","16,90%","53,44%","70,90%","18,58%","10,47%"
2026-07-27,agrotama.com.br,"12,36%","19,28%","64,58%","72,62%","21,14%","6,78%"
2026-07-28,agrotama.com.br,"14,99%","24,94%","65,26%","71,46%","22,88%","6,54%"
2026-03-14,aliexpress.com,< 10%,"8,07%","53,49%","89,97%","31,35%","8,52%"
2026-03-15,aliexpress.com,"11,88%","14,29%","0,00%","83,33%","50,00%","6,93%"
2026-04-18,aliexpress.com,< 10%,"12,79%","81,58%","88,19%","39,76%","5,75%"
2026-04-19,aliexpress.com,< 10%,"10,19%","68,35%","89,72%","37,90%","5,56%"
2026-04-20,aliexpress.com,< 10%,"10,38%","68,15%","90,20%","40,77%","7,62%"
2026-04-21,aliexpress.com,< 10%,"7,60%","57,53%","86,02%","34,05%","8,28%"
2026-05-25,aliexpress.com,< 10%,"0,00%", --,"75,00%","25,00%","9,76%"
2026-05-27,aliexpress.com,< 10%,"0,00%", --,"100,00%","100,00%","11,11%"
2026-06-09,aliexpress.com,< 10%,"0,00%", --,"83,33%","0,00%","10,20%"
2026-06-25,aliexpress.com,< 10%,"10,36%","75,00%","85,77%","30,09%","8,54%"
2026-06-30,aliexpress.com,< 10%,"8,91%","71,43%","80,88%","23,95%","4,79%"
2026-07-01,aliexpress.com,< 10%,"9,03%","81,82%","79,51%","23,29%","6,82%"
2026-07-02,aliexpress.com,< 10%,"9,71%","72,34%","79,41%","23,97%","7,02%"
2026-07-03,aliexpress.com,< 10%,"12,10%","75,53%","79,50%","29,00%","5,17%"
2026-07-04,aliexpress.com,< 10%,"3,85%","60,00%","87,80%","36,59%","12,19%"
2026-07-07,aliexpress.com,< 10%,"7,10%","68,49%","79,17%","18,65%","5,78%"
2026-07-08,aliexpress.com,< 10%,"6,43%","70,65%","79,80%","22,15%","10,93%"
2026-07-09,aliexpress.com,< 10%,"8,87%","65,71%","77,31%","21,51%","8,72%"
2026-07-10,aliexpress.com,< 10%,"8,08%","71,43%","80,83%","24,09%","6,24%"
2026-07-11,aliexpress.com,< 10%,"8,73%","62,71%","81,22%","22,15%","5,98%"
2026-07-12,aliexpress.com,< 10%,"10,80%","60,53%","80,53%","24,63%","5,55%"
2026-07-14,aliexpress.com,< 10%,"10,21%","75,00%","79,16%","22,74%","4,74%"
2026-07-21,aliexpress.com,< 10%,"9,57%","69,67%","81,75%","16,97%","7,76%"
2026-07-22,aliexpress.com,< 10%,"8,20%","63,27%","81,66%","15,94%","12,93%"
2026-07-24,aliexpress.com,< 10%,"8,85%","60,47%","81,27%","17,93%","6,56%"
2026-07-25,aliexpress.com,< 10%,"12,72%","61,68%","84,84%","20,66%","6,45%"
2026-07-26,aliexpress.com,< 10%,"8,71%","64,44%","83,79%","17,09%","10,86%"
2026-07-27,aliexpress.com,< 10%,"9,08%","71,68%","83,57%","16,76%","7,24%"
2026-07-28,aliexpress.com,< 10%,"10,12%","73,60%","81,20%","18,05%","7,23%"
2026-03-15,amazon.com.br,< 10%,"14,29%","0,00%","100,00%","0,00%","6,93%"
2026-05-24,amazon.com.br,< 10%,"0,00%", --,"66,67%","0,00%","10,64%"
2026-05-27,amazon.com.br,"16,67%","0,00%", --,"100,00%","50,00%","11,11%"
2026-07-01,amazon.com.br,"10,17%","7,90%","72,73%","64,19%","17,46%","6,95%"
2026-07-02,amazon.com.br,< 10%,"6,10%","76,27%","62,60%","15,45%","7,20%"
2026-07-03,amazon.com.br,< 10%,"6,82%","69,81%","62,35%","13,03%","5,42%"
2026-07-04,amazon.com.br,< 10%,"9,23%","83,33%","62,50%","15,38%","11,52%"
2026-07-07,amazon.com.br,"11,25%","9,63%","66,67%","64,63%","18,50%","5,69%"
2026-06-30,atlasmaq.com.br,< 10%,"1,02%","100,00%","86,91%","53,86%","5,07%"
2026-07-01,atlasmaq.com.br,< 10%,"2,36%","86,96%","82,36%","42,93%","7,22%"
2026-07-02,atlasmaq.com.br,< 10%,"3,10%","83,33%","81,35%","44,34%","7,36%"
2026-07-21,atlasmaq.com.br,< 10%,"3,53%","95,56%","81,83%","39,11%","8,04%"
2026-07-24,atlasmaq.com.br,< 10%,"4,12%","82,50%","87,79%","53,90%","6,69%"
2026-07-27,atlasmaq.com.br,< 10%,"2,65%","93,94%","87,30%","51,08%","7,55%"
2026-07-28,atlasmaq.com.br,< 10%,"3,40%","100,00%","87,71%","52,40%","7,55%"
2026-07-06,avrmaquinas.com.br,"11,11%","0,00%", --,"100,00%","100,00%","33,33%"
2026-07-06,baishenglaser.com,"88,89%","100,00%","100,00%","100,00%","100,00%","0,00%"
2026-05-21,bestbeam.com.br,< 10%,"22,54%","54,87%","79,67%","30,22%","7,92%"
2026-07-07,blips.com.br,< 10%,"2,14%","72,73%","65,20%","24,13%","5,98%"
2026-07-08,blips.com.br,< 10%,"2,03%","58,62%","62,74%","21,50%","11,31%"
2026-07-12,blips.com.br,< 10%,"1,99%","71,43%","54,94%","19,08%","5,85%"
2026-03-10,bodor.com,< 10%,"6,37%","25,58%","87,09%","11,59%","14,84%"
2026-05-24,campibras.com.br,< 10%,"0,00%", --,"100,00%","0,00%","10,64%"
2026-03-16,centraldolaser.com.br,"100,00%","100,00%","100,00%","100,00%","0,00%","0,00%"
2026-03-28,centraldolaser.com.br,"50,00%","0,00%", --,"100,00%","0,00%","50,00%"
2026-05-28,centraldolaser.com.br,"66,67%","50,00%","0,00%","50,00%","50,00%","66,67%"
2026-05-30,centraldolaser.com.br,"33,33%","0,00%", --,"100,00%","0,00%","33,33%"
2026-06-11,centraldolaser.com.br,"100,00%","100,00%","0,00%","100,00%","0,00%","100,00%"
2026-03-28,cnczumaq.com,"50,00%","100,00%","0,00%","100,00%","0,00%","50,00%"
2026-03-29,cnczumaq.com,"33,33%","0,00%", --,"100,00%","0,00%","33,33%"
2026-05-16,cnczumaq.com,"14,29%","100,00%","0,00%","100,00%","0,00%","14,29%"
2026-05-17,cnczumaq.com,"50,00%","50,00%","0,00%","100,00%","0,00%","100,00%"
2026-05-24,cnczumaq.com,"10,64%","20,00%","0,00%","60,00%","0,00%","10,64%"
2026-05-25,cnczumaq.com,< 10%,"0,00%", --,"66,67%","33,33%","9,76%"
2026-05-27,cnczumaq.com,"11,11%","25,00%","100,00%","50,00%","0,00%","8,33%"
2026-06-09,cnczumaq.com,"14,29%","10,00%","0,00%","100,00%","21,43%","10,20%"
2026-07-02,cnczumaq.com,< 10%,"9,50%","50,00%","55,08%","14,27%","7,19%"
2026-07-08,cnczumaq.com,< 10%,"7,06%","62,38%","54,02%","13,90%","10,94%"
2026-07-10,cnczumaq.com,< 10%,"6,40%","45,90%","48,28%","12,73%","6,43%"
2026-07-11,cnczumaq.com,< 10%,"5,47%","48,65%","51,59%","10,89%","6,16%"
2026-07-12,cnczumaq.com,< 10%,"6,11%","44,19%","49,87%","12,14%","5,77%"
2026-07-25,cnczumaq.com,< 10%,"5,95%","60,00%","59,35%","14,06%","6,75%"
2026-05-24,cricutbrasil.com.br,< 10%,"0,00%", --,"50,00%","25,00%","10,64%"
2026-07-06,dalpan.com.br,"11,11%","0,00%", --,"100,00%","0,00%","33,33%"
2026-03-11,deltacnc.com.br,< 10%,"11,23%","49,39%","78,56%","35,56%","16,61%"
2026-03-12,deltacnc.com.br,< 10%,"12,68%","54,71%","79,34%","36,08%","15,48%"
2026-03-13,deltacnc.com.br,< 10%,"13,18%","54,59%","79,60%","38,61%","14,84%"
2026-03-14,deltacnc.com.br,< 10%,"12,76%","51,47%","87,79%","38,96%","8,32%"
2026-03-15,deltacnc.com.br,"10,89%","0,00%", --,"36,36%","18,18%","6,93%"
2026-03-25,deltacnc.com.br,< 10%,"11,15%","42,62%","80,30%","31,14%","20,24%"
2026-03-26,deltacnc.com.br,< 10%,"11,99%","51,50%","82,26%","38,21%","15,49%"
2026-03-27,deltacnc.com.br,"11,08%","13,54%","50,00%","81,95%","42,12%","15,30%"
2026-04-12,deltacnc.com.br,"11,40%","13,56%","46,41%","87,63%","37,88%","14,00%"
2026-04-13,deltacnc.com.br,< 10%,"12,80%","54,19%","82,18%","34,21%","9,13%"
2026-04-14,deltacnc.com.br,< 10%,"11,91%","48,26%","84,53%","39,23%","8,11%"
2026-04-18,deltacnc.com.br,"10,98%","13,92%","76,61%","85,70%","42,85%","5,73%"
2026-04-19,deltacnc.com.br,"11,22%","13,42%","73,08%","86,93%","46,56%","5,39%"
2026-04-20,deltacnc.com.br,< 10%,"12,69%","56,97%","81,28%","39,60%","7,61%"
2026-04-21,deltacnc.com.br,< 10%,"10,31%","40,40%","83,84%","34,76%","8,30%"
2026-05-16,deltacnc.com.br,"14,29%","0,00%", --,"100,00%","0,00%","14,29%"
2026-05-21,deltacnc.com.br,"10,53%","5,86%","68,06%","77,71%","36,62%","8,68%"
2026-05-22,deltacnc.com.br,"10,99%","10,21%","57,76%","81,19%","36,13%","16,22%"
2026-05-23,deltacnc.com.br,"13,13%","18,94%","53,49%","84,67%","46,67%","17,86%"
2026-05-24,deltacnc.com.br,"14,89%","0,00%", --,"57,14%","42,86%","10,64%"
2026-05-25,deltacnc.com.br,"26,83%","0,00%", --,"72,73%","36,36%","9,76%"
2026-05-27,deltacnc.com.br,"16,67%","0,00%", --,"50,00%","33,33%","11,11%"
2026-06-09,deltacnc.com.br,< 10%,"0,00%", --,"62,50%","25,00%","10,20%"
2026-06-13,deltacnc.com.br,"50,00%","100,00%","0,00%","100,00%","0,00%","50,00%"
2026-06-25,deltacnc.com.br,"15,03%","18,93%","69,66%","77,76%","32,02%","8,04%"
2026-06-26,deltacnc.com.br,"17,83%","26,60%","67,09%","79,32%","37,01%","5,91%"
2026-06-30,deltacnc.com.br,"17,11%","12,21%","70,83%","67,96%","27,09%","4,67%"
2026-07-01,deltacnc.com.br,"20,22%","21,03%","74,63%","67,83%","31,88%","6,21%"
2026-07-02,deltacnc.com.br,"19,35%","19,52%","75,66%","66,33%","30,00%","6,44%"
2026-07-03,deltacnc.com.br,"20,42%","21,36%","65,66%","65,55%","29,78%","4,89%"
2026-07-04,deltacnc.com.br,"19,96%","17,69%","52,17%","60,10%","27,40%","11,32%"
2026-07-07,deltacnc.com.br,"20,34%","19,46%","72,50%","74,02%","33,65%","5,22%"
2026-07-08,deltacnc.com.br,"18,06%","19,58%","72,14%","68,71%","32,54%","9,83%"
2026-07-09,deltacnc.com.br,"21,59%","25,25%","79,60%","70,60%","35,59%","7,39%"
2026-07-10,deltacnc.com.br,"21,03%","17,42%","81,93%","71,81%","36,02%","5,68%"
2026-07-11,deltacnc.com.br,"20,26%","15,83%","83,18%","71,45%","32,33%","5,49%"
2026-07-12,deltacnc.com.br,"22,76%","17,47%","75,61%","72,52%","33,48%","5,15%"
2026-07-14,deltacnc.com.br,"19,41%","19,22%","79,69%","67,80%","32,39%","4,34%"
2026-07-21,deltacnc.com.br,"18,62%","19,29%","54,07%","65,10%","22,25%","7,45%"
2026-07-22,deltacnc.com.br,"17,18%","18,12%","58,20%","66,50%","25,92%","12,20%"
2026-07-23,deltacnc.com.br,"16,96%","14,28%","74,24%","72,86%","31,53%","7,96%"
2026-07-24,deltacnc.com.br,"15,96%","15,02%","69,86%","72,13%","27,96%","6,20%"
2026-07-25,deltacnc.com.br,"21,19%","14,86%","69,60%","77,58%","33,49%","6,27%"
2026-07-26,deltacnc.com.br,"18,67%","17,55%","75,37%","76,41%","33,45%","9,99%"
2026-07-27,deltacnc.com.br,"11,51%","11,41%","69,01%","74,07%","31,66%","7,14%"
2026-07-28,deltacnc.com.br,< 10%,"10,36%","60,94%","68,03%","26,12%","7,32%"
2026-05-28,dsm.com.br,"33,33%","50,00%","0,00%","100,00%","0,00%","66,67%"
2026-04-01,fachinimaquinas.com.br,"11,11%","0,00%", --,"0,00%","0,00%","11,11%"
2026-04-12,glorystarlaserbrasil.com.br,< 10%,"3,52%","65,96%","86,79%","40,63%","14,59%"
2026-03-10,gweikecnc.com,"14,77%","15,41%","41,35%","93,95%","37,07%","14,12%"
2026-03-11,gweikecnc.com,< 10%,"6,55%","77,08%","88,46%","54,36%","16,69%"
2026-03-12,gweikecnc.com,< 10%,"4,81%","79,29%","88,62%","55,20%","16,00%"
2026-03-13,gweikecnc.com,< 10%,"5,99%","84,70%","85,46%","57,11%","15,18%"
2026-03-14,gweikecnc.com,< 10%,"6,00%","71,88%","93,48%","61,96%","8,52%"
2026-03-25,gweikecnc.com,"11,68%","8,12%","75,42%","88,32%","55,96%","19,94%"
2026-03-26,gweikecnc.com,< 10%,"5,04%","78,57%","89,60%","57,91%","15,86%"
2026-03-27,gweikecnc.com,< 10%,"4,64%","58,33%","91,85%","61,80%","15,96%"
2026-03-28,gweikecnc.com,"50,00%","100,00%","100,00%","100,00%","100,00%","0,00%"
2026-03-29,gweikecnc.com,"66,67%","100,00%","100,00%","100,00%","100,00%","0,00%"
2026-03-30,gweikecnc.com,"46,15%","50,00%","100,00%","100,00%","100,00%","23,08%"
2026-04-01,gweikecnc.com,"33,33%","0,00%", --,"100,00%","100,00%","11,11%"
2026-04-12,gweikecnc.com,"10,71%","4,72%","85,71%","93,83%","66,14%","14,34%"
2026-04-13,gweikecnc.com,< 10%,"3,38%","78,33%","90,26%","51,28%","9,55%"
2026-04-14,gweikecnc.com,< 10%,"4,29%","77,42%","92,06%","52,48%","8,32%"
2026-04-18,gweikecnc.com,< 10%,"5,05%","75,56%","93,58%","59,49%","6,17%"
2026-04-19,gweikecnc.com,< 10%,"4,26%","87,88%","94,42%","65,77%","5,75%"
2026-04-20,gweikecnc.com,< 10%,"4,31%","80,36%","89,85%","52,79%","7,92%"
2026-04-21,gweikecnc.com,< 10%,"4,90%","82,98%","91,77%","55,74%","8,31%"
2026-05-16,gweikecnc.com,"14,29%","0,00%", --,"100,00%","100,00%","14,29%"
2026-05-17,gweikecnc.com,"50,00%","50,00%","100,00%","100,00%","100,00%","50,00%"
2026-05-21,gweikecnc.com,"10,51%","6,51%","86,25%","89,29%","58,19%","8,54%"
2026-05-22,gweikecnc.com,"10,45%","5,59%","78,31%","88,01%","58,47%","16,48%"
2026-05-23,gweikecnc.com,< 10%,"4,85%","81,82%","91,03%","44,87%","19,09%"
2026-05-24,gweikecnc.com,"10,64%","60,00%","66,67%","80,00%","40,00%","6,38%"
2026-05-25,gweikecnc.com,"12,20%","75,00%","66,67%","100,00%","40,00%","4,88%"
2026-05-27,gweikecnc.com,"16,67%","75,00%","66,67%","100,00%","83,33%","5,56%"
2026-05-28,gweikecnc.com,"66,67%","100,00%","50,00%","100,00%","50,00%","33,33%"
2026-05-30,gweikecnc.com,"33,33%","0,00%", --,"100,00%","100,00%","33,33%"
2026-06-09,gweikecnc.com,"11,22%","40,00%","0,00%","72,73%","36,36%","10,20%"
2026-06-13,gweikecnc.com,"50,00%","100,00%","0,00%","100,00%","0,00%","50,00%"
2026-06-19,gweikecnc.com,"100,00%","100,00%","100,00%","100,00%","100,00%","0,00%"
2026-06-25,gweikecnc.com,"10,98%","6,96%","84,88%","90,24%","62,53%","8,72%"
2026-06-26,gweikecnc.com,"10,50%","7,07%","77,78%","91,39%","63,26%","6,79%"
2026-06-30,gweikecnc.com,< 10%,"2,80%","81,82%","85,80%","52,96%","5,00%"
2026-07-01,gweikecnc.com,"11,51%","7,28%","87,32%","85,42%","57,26%","6,90%"
2026-07-02,gweikecnc.com,"10,56%","5,99%","79,31%","84,70%","57,58%","7,19%"
2026-07-03,gweikecnc.com,"10,32%","8,62%","85,07%","82,47%","55,29%","5,28%"
2026-07-04,gweikecnc.com,< 10%,"6,15%","87,50%","87,50%","58,33%","11,80%"
2026-07-06,gweikecnc.com,"88,89%","100,00%","33,33%","37,50%","0,00%","22,22%"
2026-07-07,gweikecnc.com,"11,16%","8,56%","79,55%","83,04%","54,53%","5,66%"
2026-07-08,gweikecnc.com,"12,69%","13,71%","84,69%","83,28%","56,21%","10,12%"
2026-07-09,gweikecnc.com,< 10%,"9,29%","84,55%","82,00%","51,95%","8,53%"
2026-07-10,gweikecnc.com,< 10%,"2,83%","70,37%","82,63%","57,05%","6,49%"
2026-07-11,gweikecnc.com,"10,25%","6,80%","89,13%","85,66%","56,80%","5,94%"
2026-07-12,gweikecnc.com,< 10%,"5,26%","83,78%","86,54%","59,70%","5,67%"
2026-07-14,gweikecnc.com,< 10%,"5,11%","73,53%","77,33%","39,55%","4,94%"
2026-07-21,gweikecnc.com,"12,28%","8,71%","79,28%","87,41%","55,10%","7,74%"
2026-07-22,gweikecnc.com,< 10%,"3,93%","72,34%","84,90%","55,40%","13,25%"
2026-07-23,gweikecnc.com,< 10%,"4,40%","78,69%","86,13%","48,38%","8,59%"
2026-07-24,gweikecnc.com,< 10%,"5,14%","80,00%","87,21%","52,58%","6,64%"
2026-07-25,gweikecnc.com,< 10%,"4,28%","77,78%","89,44%","62,13%","6,76%"
2026-07-26,gweikecnc.com,< 10%,"4,58%","85,92%","89,68%","58,45%","11,06%"
2026-07-27,gweikecnc.com,< 10%,"4,50%","85,71%","86,58%","48,98%","7,45%"
2026-07-28,gweikecnc.com,< 10%,"5,59%","81,16%","85,92%","48,38%","7,46%"
2026-04-12,hansme.net,< 10%,"5,47%","89,04%","97,53%","38,55%","14,21%"
2026-03-30,hglaser.com,< 10%,"16,67%","0,00%","100,00%","0,00%","46,15%"
2026-07-24,hnlasercnc.com,< 10%,"12,96%","63,49%","48,38%","21,22%","6,36%"
2026-07-25,hnlasercnc.com,< 10%,"6,18%","76,92%","67,98%","37,44%","6,66%"
2026-07-27,hnlasercnc.com,< 10%,"5,70%","77,46%","55,11%","19,16%","7,40%"
2026-07-28,hnlasercnc.com,< 10%,"6,72%","78,31%","52,46%","18,90%","7,40%"
2026-07-10,hovam.com.br,< 10%,"8,50%","66,67%","59,53%","18,66%","6,25%"
2026-07-11,hoysook.com,< 10%,"8,14%","89,09%","77,48%","48,44%","5,87%"
2026-03-30,hsglaser.com,< 10%,"16,67%","0,00%","100,00%","0,00%","46,15%"
2026-07-25,lojabertechcnc.com.br,< 10%,"4,88%","53,66%","69,36%","13,57%","6,81%"
2026-07-26,lojabertechcnc.com.br,< 10%,"3,23%","50,00%","68,32%","13,30%","11,32%"
2026-07-28,lojabertechcnc.com.br,< 10%,"3,48%","39,53%","67,34%","10,72%","7,70%"
2026-05-16,machcnc.com.br,"28,57%","0,00%", --,"100,00%","0,00%","14,29%"
2026-05-25,machcnc.com.br,< 10%,"0,00%", --,"100,00%","0,00%","9,76%"
2026-05-30,maclen.com.br,"66,67%","100,00%","0,00%","0,00%","0,00%","33,33%"
2026-05-25,made-in-china.com,< 10%,"0,00%", --,"75,00%","0,00%","9,76%"
2026-05-16,madmais.com.br,"14,29%","0,00%", --,"100,00%","0,00%","14,29%"
2026-05-24,makrouter.com.br,"10,64%","20,00%","0,00%","60,00%","20,00%","10,64%"
2026-05-25,makrouter.com.br,< 10%,"0,00%", --,"25,00%","0,00%","9,76%"
2026-07-04,mentoriafiber.com.br,< 10%,"9,23%","33,33%","59,02%","16,39%","12,09%"
2026-03-10,mercadolivre.com.br,"12,96%","18,67%","3,17%","91,38%","5,52%","14,99%"
2026-03-11,mercadolivre.com.br,"30,68%","46,48%","49,61%","90,83%","30,65%","13,53%"
2026-03-12,mercadolivre.com.br,"26,88%","43,69%","52,08%","89,83%","28,55%","12,85%"
2026-03-13,mercadolivre.com.br,"25,73%","42,23%","48,64%","91,54%","29,25%","12,71%"
